Timestamp,Instance,Nodes,Max_K,Solved_at_K,Status,Time_Seconds
2026-02-06 13:40:24,instance_n18_c0_k11_i42.dzn,18,11,9,SAT,3.3124
2026-02-06 13:40:27,instance_n18_c0_k14_i43.dzn,18,14,8,SAT,2.7857
2026-02-06 13:40:30,instance_n18_c1_k17_i49.dzn,18,17,7,SAT,2.2841
2026-02-06 13:40:32,instance_n18_c2_k8_i51.dzn,18,8,7,SAT,1.9733
2026-02-06 13:40:34,instance_n18_c3_k17_i59.dzn,18,17,8,SAT,2.5363
2026-02-06 13:40:36,instance_n18_c3_k8_i56.dzn,18,8,7,SAT,2.1799
2026-02-06 13:40:39,instance_n22_c0_k11_i62.dzn,22,11,7,SAT,2.3053
2026-02-06 13:40:41,instance_n22_c0_k14_i63.dzn,22,14,10,SAT,4.3075
2026-02-06 13:40:45,instance_n22_c0_k8_i61.dzn,22,8,7,SAT,2.2172
2026-02-06 13:40:47,instance_n22_c1_k11_i67.dzn,22,11,9,SAT,4.5187
2026-02-06 13:40:52,instance_n22_c1_k14_i68.dzn,22,14,8,SAT,2.7742
2026-02-06 13:40:55,instance_n22_c1_k17_i69.dzn,22,17,6,SAT,2.1234
2026-02-06 13:40:57,instance_n22_c1_k8_i66.dzn,22,8,6,SAT,1.9508
2026-02-06 13:40:59,instance_n22_c2_k11_i72.dzn,22,11,8,SAT,3.3744
2026-02-06 13:41:02,instance_n22_c2_k14_i73.dzn,22,14,7,SAT,2.4855
2026-02-06 13:41:05,instance_n22_c2_k17_i74.dzn,22,17,6,SAT,1.8745
2026-02-06 13:41:07,instance_n22_c3_k14_i78.dzn,22,14,10,SAT,6.5624
2026-02-06 13:41:14,instance_n22_c3_k8_i76.dzn,22,8,7,SAT,2.4778
2026-02-06 13:41:16,instance_n26_c0_k11_i82.dzn,26,11,9,SAT,3.8774
2026-02-06 13:41:20,instance_n26_c0_k14_i83.dzn,26,14,7,SAT,2.4354
2026-02-06 13:41:22,instance_n26_c0_k17_i84.dzn,26,17,8,SAT,3.0011
2026-02-06 13:41:25,instance_n26_c0_k8_i81.dzn,26,8,8,SAT,3.1825
2026-02-06 13:41:29,instance_n26_c1_k11_i87.dzn,26,11,8,SAT,3.2337
2026-02-06 13:41:32,instance_n26_c1_k14_i88.dzn,26,14,6,SAT,1.9776
2026-02-06 13:41:34,instance_n26_c1_k17_i89.dzn,26,17,8,SAT,3.1875
2026-02-06 13:41:37,instance_n26_c1_k8_i86.dzn,26,8,7,SAT,2.2640
2026-02-06 13:41:39,instance_n26_c2_k11_i92.dzn,26,11,8,SAT,3.7064
2026-02-06 13:41:43,instance_n26_c2_k14_i93.dzn,26,14,9,SAT,4.2821
2026-02-06 13:41:48,instance_n26_c2_k17_i94.dzn,26,17,8,SAT,3.6179
2026-02-06 13:41:51,instance_n26_c2_k8_i91.dzn,26,8,7,SAT,2.6184
2026-02-06 13:41:54,instance_n26_c3_k11_i97.dzn,26,11,8,SAT,3.2588
2026-02-06 13:41:57,instance_n26_c3_k14_i98.dzn,26,14,8,SAT,3.3075
2026-02-06 13:42:00,instance_n26_c3_k17_i99.dzn,26,17,8,SAT,2.9290
