Timestamp,Instance,Nodes,Max_K,Solved_at_K,Status,Time_Seconds
2026-02-06 11:51:13,instance_n10_c0_k11_i2.dzn,10,11,2,SAT,0.4799
2026-02-06 11:51:13,instance_n10_c0_k14_i3.dzn,10,14,5,SAT,2.8387
2026-02-06 11:51:16,instance_n10_c0_k17_i4.dzn,10,17,3,SAT,0.6774
2026-02-06 11:51:17,instance_n10_c0_k5_i0.dzn,10,5,3,SAT,0.6700
2026-02-06 11:51:17,instance_n10_c0_k8_i1.dzn,10,8,4,SAT,1.3128
2026-02-06 11:51:19,instance_n10_c1_k11_i7.dzn,10,11,5,SAT,1.5556
2026-02-06 11:51:20,instance_n10_c1_k14_i8.dzn,10,14,4,SAT,1.2344
2026-02-06 11:51:21,instance_n10_c1_k17_i9.dzn,10,17,2,SAT,0.4156
2026-02-06 11:51:22,instance_n10_c1_k5_i5.dzn,10,5,5,SAT,2.3638
2026-02-06 11:51:24,instance_n10_c1_k8_i6.dzn,10,8,6,SAT,4.1774
2026-02-06 11:51:28,instance_n10_c2_k11_i12.dzn,10,11,6,SAT,3.8019
2026-02-06 11:51:32,instance_n10_c2_k14_i13.dzn,10,14,5,SAT,1.5439
2026-02-06 11:51:34,instance_n10_c2_k17_i14.dzn,10,17,4,SAT,1.2838
2026-02-06 11:51:35,instance_n10_c2_k5_i10.dzn,10,5,4,SAT,1.3623
2026-02-06 11:51:36,instance_n10_c2_k8_i11.dzn,10,8,6,SAT,6.9292
2026-02-06 11:51:43,instance_n10_c3_k11_i17.dzn,10,11,3,SAT,0.7312
2026-02-06 11:51:44,instance_n10_c3_k14_i18.dzn,10,14,5,SAT,3.4868
2026-02-06 11:51:47,instance_n10_c3_k17_i19.dzn,10,17,6,SAT,4.3917
2026-02-06 11:51:52,instance_n10_c3_k5_i15.dzn,10,5,4,SAT,1.2260
2026-02-06 11:51:53,instance_n10_c3_k8_i16.dzn,10,8,3,SAT,0.7654
2026-02-06 11:51:54,instance_n14_c0_k11_i22.dzn,14,11,6,SAT,6.7762
2026-02-06 11:52:01,instance_n14_c0_k14_i23.dzn,14,14,3,SAT,0.7965
2026-02-06 11:52:01,instance_n14_c0_k17_i24.dzn,14,17,2,SAT,0.4761
2026-02-06 11:52:02,instance_n14_c0_k5_i20.dzn,14,5,5,SAT,2.8056
2026-02-06 11:52:05,instance_n14_c0_k8_i21.dzn,14,8,5,SAT,4.2941
