Timestamp,Instance,Nodes,Max_K,Solved_at_K,Status,Time_Seconds
2026-02-05 19:21:55,instance_n10_c0_k11_i2.dzn,10,11,2,SAT,0.4931
2026-02-05 19:21:56,instance_n10_c0_k14_i3.dzn,10,14,5,SAT,1.2302
2026-02-05 19:21:57,instance_n10_c0_k17_i4.dzn,10,17,3,SAT,0.7262
2026-02-05 19:21:58,instance_n10_c0_k5_i0.dzn,10,5,3,SAT,0.5917
2026-02-05 19:21:58,instance_n10_c0_k8_i1.dzn,10,8,4,SAT,0.9341
2026-02-05 19:21:59,instance_n10_c1_k11_i7.dzn,10,11,5,SAT,1.4405
2026-02-05 19:22:01,instance_n10_c1_k14_i8.dzn,10,14,4,SAT,1.1567
2026-02-05 19:22:02,instance_n10_c1_k17_i9.dzn,10,17,2,SAT,0.4563
2026-02-05 19:22:02,instance_n10_c1_k5_i5.dzn,10,5,5,SAT,1.4913
2026-02-05 19:22:04,instance_n10_c1_k8_i6.dzn,10,8,6,SAT,1.5206
2026-02-05 19:22:05,instance_n10_c2_k11_i12.dzn,10,11,6,SAT,1.6524
2026-02-05 19:22:07,instance_n10_c2_k14_i13.dzn,10,14,5,SAT,1.3608
2026-02-05 19:22:08,instance_n10_c2_k17_i14.dzn,10,17,4,SAT,1.0400
2026-02-05 19:22:10,instance_n10_c2_k5_i10.dzn,10,5,4,SAT,0.9839
2026-02-05 19:22:11,instance_n10_c2_k8_i11.dzn,10,8,6,SAT,1.4466
2026-02-05 19:22:12,instance_n10_c3_k11_i17.dzn,10,11,3,SAT,0.7720
2026-02-05 19:22:13,instance_n10_c3_k14_i18.dzn,10,14,5,SAT,1.3439
2026-02-05 19:22:14,instance_n10_c3_k17_i19.dzn,10,17,6,SAT,1.4159
2026-02-05 19:22:16,instance_n10_c3_k5_i15.dzn,10,5,4,SAT,1.0460
2026-02-05 19:22:17,instance_n10_c3_k8_i16.dzn,10,8,3,SAT,0.9080
2026-02-05 19:22:18,instance_n14_c0_k11_i22.dzn,14,11,6,SAT,1.6599
2026-02-05 19:22:19,instance_n14_c0_k14_i23.dzn,14,14,3,SAT,0.7590
2026-02-05 19:22:20,instance_n14_c0_k17_i24.dzn,14,17,2,SAT,0.4182
2026-02-05 19:22:21,instance_n14_c0_k5_i20.dzn,14,5,5,SAT,1.3890
2026-02-05 19:22:22,instance_n14_c0_k8_i21.dzn,14,8,5,SAT,1.2745
2026-02-05 19:22:23,instance_n14_c1_k11_i27.dzn,14,11,6,SAT,1.7058
2026-02-05 19:22:25,instance_n14_c1_k14_i28.dzn,14,14,5,SAT,1.4442
2026-02-05 19:22:26,instance_n14_c1_k17_i29.dzn,14,17,6,SAT,1.5920
2026-02-05 19:22:28,instance_n14_c1_k5_i25.dzn,14,5,3,SAT,0.7916
2026-02-05 19:22:29,instance_n14_c1_k8_i26.dzn,14,8,6,SAT,1.5147
2026-02-05 19:22:30,instance_n14_c2_k11_i32.dzn,14,11,5,SAT,1.3821
2026-02-05 19:22:32,instance_n14_c2_k14_i33.dzn,14,14,5,SAT,1.4469
2026-02-05 19:22:33,instance_n14_c2_k17_i34.dzn,14,17,5,SAT,1.3543
2026-02-05 19:22:35,instance_n14_c2_k5_i30.dzn,14,5,5,SAT,1.3328
2026-02-05 19:22:36,instance_n14_c2_k8_i31.dzn,14,8,6,SAT,1.7306
2026-02-05 19:22:38,instance_n14_c3_k11_i37.dzn,14,11,5,SAT,1.3526
2026-02-05 19:22:39,instance_n14_c3_k14_i38.dzn,14,14,5,SAT,1.2398
2026-02-05 19:22:40,instance_n14_c3_k17_i39.dzn,14,17,5,SAT,1.2996
2026-02-05 19:22:42,instance_n14_c3_k5_i35.dzn,14,5,5,SAT,1.3107
2026-02-05 19:22:43,instance_n14_c3_k8_i36.dzn,14,8,6,SAT,1.5652
2026-02-05 19:22:45,instance_n18_c0_k11_i42.dzn,18,11,9,SAT,3.6483
2026-02-05 19:22:48,instance_n18_c0_k14_i43.dzn,18,14,8,SAT,2.6216
2026-02-05 19:22:51,instance_n18_c0_k17_i44.dzn,18,17,6,SAT,1.8136
2026-02-05 19:22:53,instance_n18_c0_k5_i40.dzn,18,5,3,SAT,0.8077
2026-02-05 19:22:54,instance_n18_c0_k8_i41.dzn,18,8,4,SAT,1.0024
2026-02-05 19:22:55,instance_n18_c1_k11_i47.dzn,18,11,7,SAT,1.9972
2026-02-05 19:22:57,instance_n18_c1_k14_i48.dzn,18,14,6,SAT,1.4391
2026-02-05 19:22:58,instance_n18_c1_k17_i49.dzn,18,17,7,SAT,2.2579
2026-02-05 19:23:01,instance_n18_c1_k5_i45.dzn,18,5,5,SAT,1.1666
2026-02-05 19:23:02,instance_n18_c1_k8_i46.dzn,18,8,6,SAT,1.8140
2026-02-05 19:23:03,instance_n18_c2_k11_i52.dzn,18,11,5,SAT,1.2819
2026-02-05 19:23:05,instance_n18_c2_k14_i53.dzn,18,14,6,SAT,1.7732
2026-02-05 19:23:07,instance_n18_c2_k17_i54.dzn,18,17,6,SAT,1.6787
2026-02-05 19:23:08,instance_n18_c2_k5_i50.dzn,18,5,5,SAT,1.4498
2026-02-05 19:23:10,instance_n18_c2_k8_i51.dzn,18,8,7,SAT,2.2297
2026-02-05 19:23:12,instance_n18_c3_k11_i57.dzn,18,11,6,SAT,1.7663
2026-02-05 19:23:14,instance_n18_c3_k14_i58.dzn,18,14,5,SAT,1.2791
2026-02-05 19:23:15,instance_n18_c3_k17_i59.dzn,18,17,8,SAT,2.4746
2026-02-05 19:23:18,instance_n18_c3_k5_i55.dzn,18,5,4,SAT,1.1804
2026-02-05 19:23:19,instance_n18_c3_k8_i56.dzn,18,8,7,SAT,2.3764
2026-02-05 19:23:21,instance_n22_c0_k11_i62.dzn,22,11,7,SAT,2.4544
2026-02-05 19:23:24,instance_n22_c0_k14_i63.dzn,22,14,10,SAT,4.0853
2026-02-05 19:23:28,instance_n22_c0_k17_i64.dzn,22,17,5,SAT,1.4904
2026-02-05 19:23:29,instance_n22_c0_k5_i60.dzn,22,5,4,SAT,1.1161
2026-02-05 19:23:30,instance_n22_c0_k8_i61.dzn,22,8,7,SAT,2.2450
