Timestamp,Instance,Nodes,Max_K,Solved_at_K,Status,Time_Seconds
2026-02-05 21:17:32,instance_n10_c0_k11_i2.dzn,10,11,2,SAT,3.5596
2026-02-05 21:17:36,instance_n10_c0_k14_i3.dzn,10,14,5,SAT,1.4965
2026-02-05 21:17:37,instance_n10_c0_k17_i4.dzn,10,17,3,SAT,0.9067
2026-02-05 21:17:38,instance_n10_c0_k5_i0.dzn,10,5,3,SAT,0.7375
2026-02-05 21:17:39,instance_n10_c0_k8_i1.dzn,10,8,4,SAT,1.1806
2026-02-05 21:17:40,instance_n10_c1_k11_i7.dzn,10,11,5,SAT,1.4479
2026-02-05 21:17:41,instance_n10_c1_k14_i8.dzn,10,14,4,SAT,1.1641
2026-02-05 21:17:42,instance_n10_c1_k17_i9.dzn,10,17,2,SAT,0.4856
2026-02-05 21:17:43,instance_n10_c1_k5_i5.dzn,10,5,5,SAT,1.4688
2026-02-05 21:17:44,instance_n10_c1_k8_i6.dzn,10,8,6,SAT,1.9306
2026-02-05 21:17:46,instance_n10_c2_k11_i12.dzn,10,11,6,SAT,1.9182
2026-02-05 21:17:48,instance_n10_c2_k14_i13.dzn,10,14,5,SAT,1.3719
2026-02-05 21:17:50,instance_n10_c2_k17_i14.dzn,10,17,4,SAT,0.9937
2026-02-05 21:17:51,instance_n10_c2_k5_i10.dzn,10,5,4,SAT,1.0728
2026-02-05 21:17:52,instance_n10_c2_k8_i11.dzn,10,8,6,SAT,2.1434
2026-02-05 21:17:54,instance_n10_c3_k11_i17.dzn,10,11,3,SAT,0.8105
2026-02-05 21:17:55,instance_n10_c3_k14_i18.dzn,10,14,5,SAT,1.4117
2026-02-05 21:17:56,instance_n10_c3_k17_i19.dzn,10,17,6,SAT,1.7708
2026-02-05 21:17:58,instance_n10_c3_k5_i15.dzn,10,5,4,SAT,1.2543
2026-02-05 21:17:59,instance_n10_c3_k8_i16.dzn,10,8,3,SAT,0.8266
2026-02-05 21:18:00,instance_n14_c0_k11_i22.dzn,14,11,6,SAT,2.0013
2026-02-05 21:18:02,instance_n14_c0_k14_i23.dzn,14,14,3,SAT,0.8132
2026-02-05 21:18:03,instance_n14_c0_k17_i24.dzn,14,17,2,SAT,0.6052
2026-02-05 21:18:03,instance_n14_c0_k5_i20.dzn,14,5,5,SAT,1.5985
2026-02-05 21:18:05,instance_n14_c0_k8_i21.dzn,14,8,5,SAT,1.5931
2026-02-05 21:18:07,instance_n14_c1_k11_i27.dzn,14,11,6,SAT,2.1805
2026-02-05 21:18:09,instance_n14_c1_k14_i28.dzn,14,14,5,SAT,1.3332
2026-02-05 21:18:10,instance_n14_c1_k17_i29.dzn,14,17,6,SAT,1.9536
2026-02-05 21:18:12,instance_n14_c1_k5_i25.dzn,14,5,3,SAT,0.8283
2026-02-05 21:18:13,instance_n14_c1_k8_i26.dzn,14,8,6,SAT,1.8540
2026-02-05 21:18:15,instance_n14_c2_k11_i32.dzn,14,11,5,SAT,1.4768
2026-02-05 21:18:16,instance_n14_c2_k14_i33.dzn,14,14,5,SAT,1.3014
2026-02-05 21:18:18,instance_n14_c2_k17_i34.dzn,14,17,5,SAT,1.5247
2026-02-05 21:18:19,instance_n14_c2_k5_i30.dzn,14,5,5,SAT,1.2831
2026-02-05 21:18:20,instance_n14_c2_k8_i31.dzn,14,8,6,SAT,1.8298
2026-02-05 21:18:22,instance_n14_c3_k11_i37.dzn,14,11,5,SAT,1.5882
2026-02-05 21:18:24,instance_n14_c3_k14_i38.dzn,14,14,5,SAT,1.6067
2026-02-05 21:18:25,instance_n14_c3_k17_i39.dzn,14,17,5,SAT,1.7010
2026-02-05 21:18:27,instance_n14_c3_k5_i35.dzn,14,5,5,SAT,1.6553
2026-02-05 21:18:29,instance_n14_c3_k8_i36.dzn,14,8,6,SAT,2.2187
2026-02-05 21:18:31,instance_n18_c0_k11_i42.dzn,18,11,9,SAT,7.8584
2026-02-05 21:18:39,instance_n18_c0_k14_i43.dzn,18,14,8,SAT,5.1098
2026-02-05 21:18:44,instance_n18_c0_k17_i44.dzn,18,17,6,SAT,2.1761
2026-02-05 21:18:46,instance_n18_c0_k5_i40.dzn,18,5,3,SAT,0.8237
2026-02-05 21:18:47,instance_n18_c0_k8_i41.dzn,18,8,4,SAT,1.2249
2026-02-05 21:18:48,instance_n18_c1_k11_i47.dzn,18,11,7,SAT,2.9492
2026-02-05 21:18:51,instance_n18_c1_k14_i48.dzn,18,14,6,SAT,2.2397
2026-02-05 21:18:53,instance_n18_c1_k17_i49.dzn,18,17,7,SAT,3.2492
2026-02-05 21:18:57,instance_n18_c1_k5_i45.dzn,18,5,5,SAT,1.8116
2026-02-05 21:18:58,instance_n18_c1_k8_i46.dzn,18,8,6,SAT,1.9948
2026-02-05 21:19:00,instance_n18_c2_k11_i52.dzn,18,11,5,SAT,1.6000
2026-02-05 21:19:02,instance_n18_c2_k14_i53.dzn,18,14,6,SAT,2.2793
2026-02-05 21:19:04,instance_n18_c2_k17_i54.dzn,18,17,6,SAT,2.1383
2026-02-05 21:19:06,instance_n18_c2_k5_i50.dzn,18,5,5,SAT,1.5521
2026-02-05 21:19:08,instance_n18_c2_k8_i51.dzn,18,8,7,SAT,3.2188
2026-02-05 21:19:11,instance_n18_c3_k11_i57.dzn,18,11,6,SAT,2.2060
2026-02-05 21:19:13,instance_n18_c3_k14_i58.dzn,18,14,5,SAT,1.5491
2026-02-05 21:19:15,instance_n18_c3_k17_i59.dzn,18,17,8,SAT,4.3266
2026-02-05 21:19:19,instance_n18_c3_k5_i55.dzn,18,5,4,SAT,1.1813
2026-02-05 21:19:20,instance_n18_c3_k8_i56.dzn,18,8,7,SAT,3.1777
2026-02-05 21:19:24,instance_n22_c0_k11_i62.dzn,22,11,7,SAT,3.6204
2026-02-05 21:19:27,instance_n22_c0_k14_i63.dzn,22,14,10,SAT,17.3090
2026-02-05 21:19:45,instance_n22_c0_k17_i64.dzn,22,17,5,SAT,1.9364
2026-02-05 21:19:46,instance_n22_c0_k5_i60.dzn,22,5,4,SAT,1.2744
2026-02-05 21:19:48,instance_n22_c0_k8_i61.dzn,22,8,7,SAT,3.5938
2026-02-05 21:19:51,instance_n22_c1_k11_i67.dzn,22,11,9,SAT,14.0875
2026-02-05 21:20:05,instance_n22_c1_k14_i68.dzn,22,14,8,SAT,5.7811
2026-02-05 21:20:11,instance_n22_c1_k17_i69.dzn,22,17,6,SAT,2.4002
2026-02-05 21:20:14,instance_n22_c1_k5_i65.dzn,22,5,4,SAT,1.3619
2026-02-05 21:20:15,instance_n22_c1_k8_i66.dzn,22,8,6,SAT,2.9815
2026-02-05 21:20:18,instance_n22_c2_k11_i72.dzn,22,11,8,SAT,5.4717
2026-02-05 21:20:23,instance_n22_c2_k14_i73.dzn,22,14,7,SAT,3.3406
2026-02-05 21:20:27,instance_n22_c2_k17_i74.dzn,22,17,6,SAT,2.8946
2026-02-05 21:20:30,instance_n22_c2_k5_i70.dzn,22,5,5,SAT,1.9906
2026-02-05 21:20:32,instance_n22_c2_k8_i71.dzn,22,8,6,SAT,2.6695
2026-02-05 21:20:34,instance_n22_c3_k11_i77.dzn,22,11,5,SAT,1.7795
2026-02-05 21:20:36,instance_n22_c3_k14_i78.dzn,22,14,10,SAT,65.1609
2026-02-05 21:21:41,instance_n22_c3_k17_i79.dzn,22,17,7,SAT,3.2666
2026-02-05 21:21:45,instance_n22_c3_k5_i75.dzn,22,5,5,SAT,1.9157
2026-02-05 21:21:46,instance_n22_c3_k8_i76.dzn,22,8,7,SAT,3.5255
2026-02-05 21:21:50,instance_n26_c0_k11_i82.dzn,26,11,9,SAT,13.2501
2026-02-05 21:22:03,instance_n26_c0_k14_i83.dzn,26,14,7,SAT,3.2622
2026-02-05 21:22:07,instance_n26_c0_k17_i84.dzn,26,17,8,SAT,5.5925
2026-02-05 21:22:12,instance_n26_c0_k5_i80.dzn,26,5,5,SAT,2.1920
2026-02-05 21:22:14,instance_n26_c0_k8_i81.dzn,26,8,8,SAT,17.1152
2026-02-05 21:22:31,instance_n26_c1_k11_i87.dzn,26,11,8,SAT,5.8920
2026-02-05 21:22:37,instance_n26_c1_k14_i88.dzn,26,14,6,SAT,2.5993
2026-02-05 21:22:40,instance_n26_c1_k17_i89.dzn,26,17,8,SAT,10.3185
2026-02-05 21:22:50,instance_n26_c1_k5_i85.dzn,26,5,5,SAT,1.9032
2026-02-05 21:22:52,instance_n26_c1_k8_i86.dzn,26,8,7,SAT,4.3570
2026-02-05 21:22:56,instance_n26_c2_k11_i92.dzn,26,11,8,SAT,11.4485
2026-02-05 21:23:08,instance_n26_c2_k14_i93.dzn,26,14,9,SAT,14.1471
2026-02-05 21:23:22,instance_n26_c2_k17_i94.dzn,26,17,8,SAT,11.0681
2026-02-05 21:23:33,instance_n26_c2_k5_i90.dzn,26,5,5,SAT,2.0190
2026-02-05 21:23:35,instance_n26_c2_k8_i91.dzn,26,8,7,SAT,3.8332
2026-02-05 21:23:39,instance_n26_c3_k11_i97.dzn,26,11,8,SAT,6.6728
2026-02-05 21:23:46,instance_n26_c3_k14_i98.dzn,26,14,8,SAT,9.6798
2026-02-05 21:23:55,instance_n26_c3_k17_i99.dzn,26,17,8,SAT,7.2609
2026-02-05 21:24:03,instance_n26_c3_k5_i95.dzn,26,5,4,SAT,1.4069
2026-02-05 21:24:04,instance_n26_c3_k8_i96.dzn,26,8,7,SAT,3.8560
