Instance,K_Found,SAT,Time_Seconds
i0,3,SAT,0.67
i1,4,SAT,1.3128
i2,2,SAT,0.4799
i3,5,SAT,2.8387
i4,3,SAT,0.6774
i5,5,SAT,2.3638
i6,6,SAT,4.1774
i7,5,SAT,1.5556
i8,4,SAT,1.2344
i9,2,SAT,0.4156
i10,4,SAT,1.3623
i11,6,SAT,6.9292
i12,6,SAT,3.8019
i13,5,SAT,1.5439
i14,4,SAT,1.2838
i15,4,SAT,1.226
i16,3,SAT,0.7654
i17,3,SAT,0.7312
i18,5,SAT,3.4868
i19,6,SAT,4.3917
i20,5,SAT,2.8056
i21,5,SAT,4.2941
i22,6,SAT,6.7762
i23,3,SAT,0.7965
i24,2,SAT,0.4761
i25,3,SAT,0.8153
i26,6,SAT,4.1176
i27,6,SAT,8.9741
i28,5,SAT,2.2239
i29,6,SAT,8.6331
i30,5,SAT,2.0508
i31,6,SAT,6.7389
i32,5,SAT,2.3136
i33,5,SAT,2.8266
i34,5,SAT,2.4019
i35,5,SAT,2.4613
i36,6,SAT,10.4344
i37,5,SAT,2.1428
i38,5,SAT,3.9567
i39,5,SAT,2.597
i40,3,SAT,0.8455
i41,4,SAT,1.7634
i42,,TIMEOUT,300.0
i43,,TIMEOUT,300.0
i44,6,SAT,8.9103
i45,5,SAT,6.6964
i46,6,SAT,16.9837
i47,7,SAT,118.7858
i48,6,SAT,20.4153
i49,7,SAT,271.5935
i50,5,SAT,3.0766
i51,7,SAT,117.5754
i52,5,SAT,3.7708
i53,6,SAT,21.0504
i54,6,SAT,12.9955
i55,4,SAT,1.7406
i56,7,SAT,234.0221
i57,6,SAT,11.2336
i58,5,SAT,5.5152
i59,,TIMEOUT,300.0
i60,4,SAT,2.1882
i61,7,SAT,151.7373
i62,,TIMEOUT,300.0
i63,,TIMEOUT,300.0
i64,5,SAT,6.4781
i65,4,SAT,3.2526
i66,6,SAT,48.9844
i67,,TIMEOUT,300.0
i68,,TIMEOUT,300.0
i69,6,SAT,33.4548
i70,5,SAT,10.4675
i71,6,SAT,51.2106
i72,,TIMEOUT,300.0
i73,,TIMEOUT,300.0
i74,6,SAT,99.7484
i75,5,SAT,5.2138
i76,,TIMEOUT,300.0
i77,5,SAT,9.5341
i78,,TIMEOUT,300.0
i79,7,SAT,163.0229
i80,5,SAT,9.7399
i81,,TIMEOUT,300.0
i82,,TIMEOUT,300.0
i83,7,SAT,248.494
i84,,TIMEOUT,300.0
i85,5,SAT,8.6191
i86,,TIMEOUT,300.0
i87,,TIMEOUT,300.0
i88,6,SAT,31.9138
i89,,TIMEOUT,300.0
i90,5,SAT,7.1547
i91,,TIMEOUT,300.0
i92,,TIMEOUT,300.0
i93,,TIMEOUT,300.0
i94,,TIMEOUT,300.0
i95,4,SAT,2.2906
i96,,TIMEOUT,300.0
i97,,TIMEOUT,300.0
i98,,TIMEOUT,300.0
i99,,TIMEOUT,300.0
