Instance,K_Found,SAT,Time_Seconds
i0,3,SAT,0.5917
i1,4,SAT,0.9341
i2,2,SAT,0.4931
i3,5,SAT,1.2302
i4,3,SAT,0.7262
i5,5,SAT,1.4913
i6,6,SAT,1.5206
i7,5,SAT,1.4405
i8,4,SAT,1.1567
i9,2,SAT,0.4563
i10,4,SAT,0.9839
i11,6,SAT,1.4466
i12,6,SAT,1.6524
i13,5,SAT,1.3608
i14,4,SAT,1.04
i15,4,SAT,1.046
i16,3,SAT,0.908
i17,3,SAT,0.772
i18,5,SAT,1.3439
i19,6,SAT,1.4159
i20,5,SAT,1.389
i21,5,SAT,1.2745
i22,6,SAT,1.6599
i23,3,SAT,0.759
i24,2,SAT,0.4182
i25,3,SAT,0.7916
i26,6,SAT,1.5147
i27,6,SAT,1.7058
i28,5,SAT,1.4442
i29,6,SAT,1.592
i30,5,SAT,1.3328
i31,6,SAT,1.7306
i32,5,SAT,1.3821
i33,5,SAT,1.4469
i34,5,SAT,1.3543
i35,5,SAT,1.3107
i36,6,SAT,1.5652
i37,5,SAT,1.3526
i38,5,SAT,1.2398
i39,5,SAT,1.2996
i40,3,SAT,0.8077
i41,4,SAT,1.0024
i42,9,SAT,3.6483
i43,8,SAT,2.6216
i44,6,SAT,1.8136
i45,5,SAT,1.1666
i46,6,SAT,1.814
i47,7,SAT,1.9972
i48,6,SAT,1.4391
i49,7,SAT,2.2579
i50,5,SAT,1.4498
i51,7,SAT,2.2297
i52,5,SAT,1.2819
i53,6,SAT,1.7732
i54,6,SAT,1.6787
i55,4,SAT,1.1804
i56,7,SAT,2.3764
i57,6,SAT,1.7663
i58,5,SAT,1.2791
i59,8,SAT,2.4746
i60,4,SAT,1.1161
i61,7,SAT,2.245
i62,7,SAT,2.4544
i63,10,SAT,4.0853
i64,5,SAT,1.4904
i65,4,SAT,1.2276
i66,6,SAT,2.0114
i67,9,SAT,4.6733
i68,8,SAT,2.801
i69,6,SAT,2.0588
i70,5,SAT,1.2459
i71,6,SAT,1.9707
i72,8,SAT,3.1292
i73,7,SAT,2.1313
i74,6,SAT,2.1868
i75,5,SAT,1.3334
i76,7,SAT,2.2701
i77,5,SAT,1.4481
i78,10,SAT,6.4959
i79,7,SAT,2.0432
i80,5,SAT,1.432
i81,8,SAT,3.1591
i82,9,SAT,3.7674
i83,7,SAT,2.5321
i84,8,SAT,2.9997
i85,5,SAT,1.4187
i86,7,SAT,2.3795
i87,8,SAT,2.9948
i88,6,SAT,2.056
i89,8,SAT,3.3873
i90,5,SAT,1.4864
i91,7,SAT,2.48
i92,8,SAT,3.0578
i93,9,SAT,3.5633
i94,8,SAT,3.0191
i95,4,SAT,1.0863
i96,7,SAT,2.2171
i97,8,SAT,2.9141
i98,8,SAT,2.6577
i99,8,SAT,2.871
