Instance,K_Found,SAT,Time_Seconds
i2,2,SAT,3.5596
i3,5,SAT,1.4965
i4,3,SAT,0.9067
i0,3,SAT,0.7375
i1,4,SAT,1.1806
i7,5,SAT,1.4479
i8,4,SAT,1.1641
i9,2,SAT,0.4856
i5,5,SAT,1.4688
i6,6,SAT,1.9306
i12,6,SAT,1.9182
i13,5,SAT,1.3719
i14,4,SAT,0.9937
i10,4,SAT,1.0728
i11,6,SAT,2.1434
i17,3,SAT,0.8105
i18,5,SAT,1.4117
i19,6,SAT,1.7708
i15,4,SAT,1.2543
i16,3,SAT,0.8266
i22,6,SAT,2.0013
i23,3,SAT,0.8132
i24,2,SAT,0.6052
i20,5,SAT,1.5985
i21,5,SAT,1.5931
i27,6,SAT,2.1805
i28,5,SAT,1.3332
i29,6,SAT,1.9536
i25,3,SAT,0.8283
i26,6,SAT,1.854
i32,5,SAT,1.4768
i33,5,SAT,1.3014
i34,5,SAT,1.5247
i30,5,SAT,1.2831
i31,6,SAT,1.8298
i37,5,SAT,1.5882
i38,5,SAT,1.6067
i39,5,SAT,1.701
i35,5,SAT,1.6553
i36,6,SAT,2.2187
i42,9,SAT,7.8584
i43,8,SAT,5.1098
i44,6,SAT,2.1761
i40,3,SAT,0.8237
i41,4,SAT,1.2249
i47,7,SAT,2.9492
i48,6,SAT,2.2397
i49,7,SAT,3.2492
i45,5,SAT,1.8116
i46,6,SAT,1.9948
i52,5,SAT,1.6
i53,6,SAT,2.2793
i54,6,SAT,2.1383
i50,5,SAT,1.5521
i51,7,SAT,3.2188
i57,6,SAT,2.206
i58,5,SAT,1.5491
i59,8,SAT,4.3266
i55,4,SAT,1.1813
i56,7,SAT,3.1777
i62,7,SAT,3.6204
i63,10,SAT,17.309
i64,5,SAT,1.9364
i60,4,SAT,1.2744
i61,7,SAT,3.5938
i67,9,SAT,14.0875
i68,8,SAT,5.7811
i69,6,SAT,2.4002
i65,4,SAT,1.3619
i66,6,SAT,2.9815
i72,8,SAT,5.4717
i73,7,SAT,3.3406
i74,6,SAT,2.8946
i70,5,SAT,1.9906
i71,6,SAT,2.6695
i77,5,SAT,1.7795
i78,10,SAT,65.1609
i79,7,SAT,3.2666
i75,5,SAT,1.9157
i76,7,SAT,3.5255
i82,9,SAT,13.2501
i83,7,SAT,3.2622
i84,8,SAT,5.5925
i80,5,SAT,2.192
i81,8,SAT,17.1152
i87,8,SAT,5.892
i88,6,SAT,2.5993
i89,8,SAT,10.3185
i85,5,SAT,1.9032
i86,7,SAT,4.357
i92,8,SAT,11.4485
i93,9,SAT,14.1471
i94,8,SAT,11.0681
i90,5,SAT,2.019
i91,7,SAT,3.8332
i97,8,SAT,6.6728
i98,8,SAT,9.6798
i99,8,SAT,7.2609
i95,4,SAT,1.4069
i96,7,SAT,3.856
