Instance;chuffed_K_Found;chuffed_SAT;chuffed_Time_Seconds;gecode_K_Found;gecode_SAT;gecode_Time_Seconds;HiGHs_K_Found;HiGHs_SAT;HiGHs_Time_Seconds;ortools_K_Found;ortools_SAT;ortools_Time_Seconds
i0;3;SAT;0,5917;3;SAT;0,838;3;SAT;0,67;3;SAT;0,7375
i1;4;SAT;0,9341;4;SAT;1,057;4;SAT;1,3128;4;SAT;1,1806
i2;2;SAT;0,4931;2;SAT;8,0609;2;SAT;0,4799;2;SAT;3,5596
i3;5;SAT;1,2302;5;SAT;1,5533;5;SAT;2,8387;5;SAT;1,4965
i4;3;SAT;0,7262;3;SAT;0,8172;3;SAT;0,6774;3;SAT;0,9067
i5;5;SAT;1,4913;5;SAT;1,3294;5;SAT;2,3638;5;SAT;1,4688
i6;6;SAT;1,5206;6;SAT;1,7644;6;SAT;4,1774;6;SAT;1,9306
i7;5;SAT;1,4405;5;SAT;1,2113;5;SAT;1,5556;5;SAT;1,4479
i8;4;SAT;1,1567;4;SAT;1,0465;4;SAT;1,2344;4;SAT;1,1641
i9;2;SAT;0,4563;2;SAT;0,4592;2;SAT;0,4156;2;SAT;0,4856
i10;4;SAT;0,9839;4;SAT;1,2207;4;SAT;1,3623;4;SAT;1,0728
i11;6;SAT;1,4466;6;SAT;1,4933;6;SAT;6,9292;6;SAT;2,1434
i12;6;SAT;1,6524;6;SAT;1,6738;6;SAT;3,8019;6;SAT;1,9182
i13;5;SAT;1,3608;5;SAT;1,2994;5;SAT;1,5439;5;SAT;1,3719
i14;4;SAT;1,04;4;SAT;1,0655;4;SAT;1,2838;4;SAT;0,9937
i15;4;SAT;1,046;4;SAT;0,8647;4;SAT;1,226;4;SAT;1,2543
i16;3;SAT;0,908;3;SAT;0,7987;3;SAT;0,7654;3;SAT;0,8266
i17;3;SAT;0,772;3;SAT;0,6245;3;SAT;0,7312;3;SAT;0,8105
i18;5;SAT;1,3439;5;SAT;1,1041;5;SAT;3,4868;5;SAT;1,4117
i19;6;SAT;1,4159;6;SAT;1,6166;6;SAT;4,3917;6;SAT;1,7708
