Timestamp,Instance,Nodes,Max_K,Solved_at_K,Min_Cost,Min_Status,Time_SAT_Sec,Time_MIN_Sec
21:32:24,instance_n18_c2_k14_i53.dzn,18,14,6,36,OPTIMAL,1.80,0.30
21:32:26,instance_n18_c2_k17_i54.dzn,18,17,6,62,OPTIMAL,1.40,0.45
21:32:28,instance_n22_c0_k14_i63.dzn,22,14,7,62,OPTIMAL,2.62,2.87
21:32:33,instance_n22_c0_k17_i64.dzn,22,17,8,60,OPTIMAL,3.34,9.10
21:32:46,instance_n22_c1_k11_i67.dzn,22,11,8,58,OPTIMAL,3.25,6.53
21:32:56,instance_n22_c1_k17_i69.dzn,22,17,6,45,OPTIMAL,1.98,0.60
21:32:58,instance_n22_c2_k14_i73.dzn,22,14,6,46,OPTIMAL,2.06,1.08
21:33:01,instance_n22_c2_k17_i74.dzn,22,17,6,50,OPTIMAL,1.59,0.54
21:33:03,instance_n22_c3_k11_i77.dzn,22,11,8,69,OPTIMAL,3.60,6.32
21:33:13,instance_n22_c3_k17_i79.dzn,22,17,6,38,OPTIMAL,1.83,0.54
21:33:16,instance_n22_c3_k8_i76.dzn,22,8,4,52,OPTIMAL,1.04,0.35
21:33:17,instance_n26_c0_k14_i83.dzn,26,14,7,60,OPTIMAL,2.52,1.56
21:33:21,instance_n26_c0_k17_i84.dzn,26,17,8,81,OPTIMAL,2.96,8.39
21:33:33,instance_n26_c0_k8_i81.dzn,26,8,5,50,OPTIMAL,1.81,0.41
21:33:35,instance_n26_c1_k11_i87.dzn,26,11,6,52,OPTIMAL,2.23,0.58
21:33:38,instance_n26_c1_k14_i88.dzn,26,14,9,91,OPTIMAL,5.05,60.12
21:34:43,instance_n26_c1_k17_i89.dzn,26,17,10,95,SAT_MIN,7.76,300.29
21:39:51,instance_n26_c2_k14_i93.dzn,26,14,10,96,OPTIMAL,9.10,189.77
21:43:10,instance_n26_c2_k17_i94.dzn,26,17,9,84,OPTIMAL,4.23,38.58
21:43:53,instance_n26_c3_k17_i99.dzn,26,17,7,63,OPTIMAL,2.46,4.14
