Timestamp,Instance,Nodes,Max_K,Solved_at_K,Min_Cost,Min_Status,Time_SAT_Sec,Time_MIN_Sec
16:25:45,instance_n10_c0_k11_i2.dzn,10,11,4,29,OPTIMAL,0.75,4.07
16:25:50,instance_n10_c0_k14_i3.dzn,10,14,4,50,OPTIMAL,0.69,1.02
16:25:52,instance_n10_c0_k17_i4.dzn,10,17,4,23,OPTIMAL,0.67,0.53
16:25:53,instance_n10_c0_k5_i0.dzn,10,5,5,46,OPTIMAL,0.86,13.58
16:26:07,instance_n10_c0_k8_i1.dzn,10,8,4,47,OPTIMAL,0.71,0.45
16:26:08,instance_n10_c1_k11_i7.dzn,10,11,4,30,OPTIMAL,0.69,0.39
16:26:10,instance_n10_c1_k14_i8.dzn,10,14,5,41,OPTIMAL,0.86,7.11
16:26:18,instance_n10_c1_k17_i9.dzn,10,17,3,24,OPTIMAL,0.51,0.31
16:26:18,instance_n10_c1_k5_i5.dzn,10,5,4,26,OPTIMAL,0.68,2.55
16:26:22,instance_n10_c1_k8_i6.dzn,10,8,4,35,OPTIMAL,0.69,0.94
16:26:23,instance_n10_c2_k11_i12.dzn,10,11,4,20,OPTIMAL,0.68,1.77
16:26:26,instance_n10_c2_k14_i13.dzn,10,14,4,34,OPTIMAL,0.69,0.50
16:26:27,instance_n10_c2_k17_i14.dzn,10,17,4,27,OPTIMAL,0.66,0.47
16:26:28,instance_n10_c2_k5_i10.dzn,10,5,4,37,OPTIMAL,0.70,5.04
16:26:34,instance_n10_c2_k8_i11.dzn,10,8,6,53,OPTIMAL,1.05,17.61
16:26:52,instance_n10_c3_k11_i17.dzn,10,11,3,25,OPTIMAL,0.56,0.31
16:26:53,instance_n10_c3_k14_i18.dzn,10,14,5,35,OPTIMAL,0.84,6.74
16:27:01,instance_n10_c3_k17_i19.dzn,10,17,3,19,OPTIMAL,0.51,0.32
16:27:02,instance_n10_c3_k5_i15.dzn,10,5,5,49,OPTIMAL,0.84,5.02
16:27:07,instance_n10_c3_k8_i16.dzn,10,8,3,19,OPTIMAL,0.51,0.32
16:27:08,instance_n14_c0_k11_i22.dzn,14,11,5,58,OPTIMAL,0.87,8.68
16:27:18,instance_n14_c0_k14_i23.dzn,14,14,5,38,OPTIMAL,0.87,9.39
16:27:28,instance_n14_c0_k17_i24.dzn,14,17,5,39,OPTIMAL,0.90,14.19
16:27:43,instance_n14_c0_k5_i20.dzn,14,5,5,54,OPTIMAL,0.90,11.77
16:27:56,instance_n14_c0_k8_i21.dzn,14,8,7,55,SAT_MIN,1.35,300.17
16:32:57,instance_n14_c1_k11_i27.dzn,14,11,6,69,OPTIMAL,1.08,14.57
16:33:13,instance_n14_c1_k14_i28.dzn,14,14,8,71,SAT_MIN,1.63,300.19
16:38:15,instance_n14_c1_k17_i29.dzn,14,17,5,51,OPTIMAL,0.85,14.82
16:38:31,instance_n14_c1_k5_i25.dzn,14,5,5,48,OPTIMAL,0.88,10.35
16:38:42,instance_n14_c1_k8_i26.dzn,14,8,4,36,OPTIMAL,0.70,0.61
16:38:43,instance_n14_c2_k11_i32.dzn,14,11,4,43,OPTIMAL,0.70,0.61
16:38:44,instance_n14_c2_k14_i33.dzn,14,14,3,24,OPTIMAL,0.53,0.43
16:38:45,instance_n14_c2_k17_i34.dzn,14,17,6,40,OPTIMAL,1.11,31.99
16:39:18,instance_n14_c2_k5_i30.dzn,14,5,4,45,OPTIMAL,0.74,0.58
16:39:20,instance_n14_c2_k8_i31.dzn,14,8,6,48,OPTIMAL,1.11,80.68
16:40:42,instance_n14_c3_k11_i37.dzn,14,11,5,66,OPTIMAL,0.89,18.35
16:41:01,instance_n14_c3_k14_i38.dzn,14,14,5,43,OPTIMAL,0.87,3.80
16:41:05,instance_n14_c3_k17_i39.dzn,14,17,6,55,OPTIMAL,1.12,35.45
16:41:42,instance_n14_c3_k5_i35.dzn,14,5,5,44,OPTIMAL,0.95,13.06
16:41:56,instance_n14_c3_k8_i36.dzn,14,8,5,34,OPTIMAL,0.87,10.20
16:42:07,instance_n18_c0_k11_i42.dzn,18,11,3,29,OPTIMAL,0.52,0.58
16:42:08,instance_n18_c0_k14_i43.dzn,18,14,6,55,SAT_MIN,1.19,300.18
16:47:10,instance_n18_c0_k17_i44.dzn,18,17,6,55,OPTIMAL,1.10,127.11
16:49:18,instance_n18_c0_k5_i40.dzn,18,5,5,37,OPTIMAL,0.90,31.08
16:49:50,instance_n18_c0_k8_i41.dzn,18,8,4,37,OPTIMAL,0.70,9.86
16:50:00,instance_n18_c1_k11_i47.dzn,18,11,6,45,OPTIMAL,1.12,216.53
16:53:38,instance_n18_c1_k14_i48.dzn,18,14,6,37,OPTIMAL,1.22,227.11
16:57:26,instance_n18_c1_k17_i49.dzn,18,17,6,70,OPTIMAL,1.14,222.20
17:01:10,instance_n18_c1_k5_i45.dzn,18,5,5,43,OPTIMAL,0.93,47.82
17:01:58,instance_n18_c1_k8_i46.dzn,18,8,8,76,SAT_MIN,1.71,300.20
17:07:00,instance_n18_c2_k11_i52.dzn,18,11,7,65,SAT_MIN,1.55,300.19
17:12:02,instance_n18_c2_k14_i53.dzn,18,14,6,36,OPTIMAL,1.13,65.12
17:13:08,instance_n18_c2_k17_i54.dzn,18,17,6,62,OPTIMAL,1.16,130.04
17:15:20,instance_n18_c2_k5_i50.dzn,18,5,4,32,OPTIMAL,0.76,4.39
17:15:25,instance_n18_c2_k8_i51.dzn,18,8,5,55,OPTIMAL,0.90,17.97
17:15:44,instance_n18_c3_k11_i57.dzn,18,11,6,41,OPTIMAL,1.15,52.68
17:16:37,instance_n18_c3_k14_i58.dzn,18,14,5,59,OPTIMAL,0.91,37.69
17:17:16,instance_n18_c3_k17_i59.dzn,18,17,7,56,SAT_MIN,1.45,300.23
17:22:18,instance_n18_c3_k5_i55.dzn,18,5,4,53,OPTIMAL,0.72,5.06
17:22:23,instance_n18_c3_k8_i56.dzn,18,8,5,33,OPTIMAL,0.92,33.30
17:22:58,instance_n22_c0_k11_i62.dzn,22,11,7,68,SAT_MIN,1.60,300.22
17:27:59,instance_n22_c0_k14_i63.dzn,22,14,7,85,SAT_MIN,1.66,300.19
17:33:01,instance_n22_c0_k17_i64.dzn,22,17,8,N/A,ERROR_MIN,2.23,300.22
17:38:04,instance_n22_c0_k5_i60.dzn,22,5,5,56,OPTIMAL,1.00,44.85
17:38:50,instance_n22_c0_k8_i61.dzn,22,8,8,113,SAT_MIN,2.18,300.28
17:43:52,instance_n22_c1_k11_i67.dzn,22,11,8,68,SAT_MIN,1.91,300.23
17:48:54,instance_n22_c1_k14_i68.dzn,22,14,9,N/A,ERROR_MIN,2.46,300.24
17:53:57,instance_n22_c1_k17_i69.dzn,22,17,6,45,SAT_MIN,1.14,300.22
17:58:58,instance_n22_c1_k5_i65.dzn,22,5,5,42,OPTIMAL,0.92,70.80
18:00:10,instance_n22_c1_k8_i66.dzn,22,8,6,66,SAT_MIN,1.17,300.18
18:05:11,instance_n22_c2_k11_i72.dzn,22,11,8,94,SAT_MIN,1.98,300.19
18:10:14,instance_n22_c2_k14_i73.dzn,22,14,6,46,SAT_MIN,1.23,300.25
18:15:15,instance_n22_c2_k17_i74.dzn,22,17,6,50,OPTIMAL,1.15,84.45
18:16:41,instance_n22_c2_k5_i70.dzn,22,5,4,33,OPTIMAL,0.74,10.65
18:16:52,instance_n22_c2_k8_i71.dzn,22,8,7,73,SAT_MIN,1.49,300.21
18:21:54,instance_n22_c3_k11_i77.dzn,22,11,8,88,SAT_MIN,2.28,300.24
18:26:56,instance_n22_c3_k14_i78.dzn,22,14,7,81,SAT_MIN,1.42,300.21
18:31:58,instance_n22_c3_k17_i79.dzn,22,17,6,38,OPTIMAL,1.16,187.65
18:35:07,instance_n22_c3_k5_i75.dzn,22,5,4,47,OPTIMAL,0.71,7.24
18:35:15,instance_n22_c3_k8_i76.dzn,22,8,4,52,OPTIMAL,0.71,12.45
18:35:28,instance_n26_c0_k11_i82.dzn,26,11,10,N/A,ERROR_MIN,7.41,300.29
18:40:35,instance_n26_c0_k14_i83.dzn,26,14,7,60,SAT_MIN,1.55,300.22
18:45:37,instance_n26_c0_k17_i84.dzn,26,17,8,N/A,ERROR_MIN,1.89,300.28
18:50:39,instance_n26_c0_k5_i80.dzn,26,5,5,49,OPTIMAL,0.93,166.04
18:53:26,instance_n26_c0_k8_i81.dzn,26,8,5,50,OPTIMAL,0.99,210.59
18:56:58,instance_n26_c1_k11_i87.dzn,26,11,6,52,SAT_MIN,1.25,300.23
19:01:59,instance_n26_c1_k14_i88.dzn,26,14,9,N/A,ERROR_MIN,3.01,300.27
19:07:03,instance_n26_c1_k17_i89.dzn,26,17,10,N/A,ERROR_MIN,5.75,300.31
19:12:09,instance_n26_c1_k5_i85.dzn,26,5,4,54,OPTIMAL,0.76,14.03
19:12:24,instance_n26_c1_k8_i86.dzn,26,8,7,72,SAT_MIN,1.49,300.24
19:17:25,instance_n26_c2_k11_i92.dzn,26,11,8,N/A,ERROR_MIN,1.99,300.24
19:22:28,instance_n26_c2_k14_i93.dzn,26,14,10,N/A,ERROR_MIN,6.49,300.28
19:27:34,instance_n26_c2_k17_i94.dzn,26,17,9,N/A,ERROR_MIN,3.08,300.26
19:32:38,instance_n26_c2_k5_i90.dzn,26,5,5,49,OPTIMAL,0.95,106.87
19:34:25,instance_n26_c2_k8_i91.dzn,26,8,8,106,SAT_MIN,2.20,300.29
19:39:28,instance_n26_c3_k11_i97.dzn,26,11,7,81,SAT_MIN,1.43,300.25
19:44:30,instance_n26_c3_k14_i98.dzn,26,14,7,58,SAT_MIN,1.55,300.27
19:49:31,instance_n26_c3_k17_i99.dzn,26,17,7,81,SAT_MIN,1.56,300.27
19:54:33,instance_n26_c3_k5_i95.dzn,26,5,5,58,OPTIMAL,0.96,216.80
19:58:11,instance_n26_c3_k8_i96.dzn,26,8,6,52,OPTIMAL,1.19,272.19
