Timestamp,Instance,Nodes,Max_K,Solved_at_K,Min_Cost,Min_Status,Time_SAT_Sec,Time_MIN_Sec
10:25:42,instance_n10_c0_k11_i2.dzn,10,11,4,29,OPTIMAL,1.10,0.18
10:25:44,instance_n10_c0_k14_i3.dzn,10,14,4,50,OPTIMAL,0.66,0.21
10:25:45,instance_n10_c0_k17_i4.dzn,10,17,4,23,OPTIMAL,0.72,0.19
10:25:46,instance_n10_c0_k5_i0.dzn,10,5,5,46,OPTIMAL,0.84,0.20
10:25:47,instance_n10_c0_k8_i1.dzn,10,8,4,47,OPTIMAL,0.69,0.19
10:25:47,instance_n10_c1_k11_i7.dzn,10,11,4,30,OPTIMAL,0.67,0.17
10:25:48,instance_n10_c1_k14_i8.dzn,10,14,5,41,OPTIMAL,0.89,0.20
10:25:49,instance_n10_c1_k17_i9.dzn,10,17,3,24,OPTIMAL,0.53,0.19
10:25:50,instance_n10_c1_k5_i5.dzn,10,5,4,26,OPTIMAL,0.73,0.20
10:25:51,instance_n10_c1_k8_i6.dzn,10,8,4,35,OPTIMAL,0.70,0.24
10:25:52,instance_n10_c2_k11_i12.dzn,10,11,4,20,OPTIMAL,0.69,0.18
10:25:53,instance_n10_c2_k14_i13.dzn,10,14,4,34,OPTIMAL,0.68,0.19
10:25:54,instance_n10_c2_k17_i14.dzn,10,17,4,27,OPTIMAL,0.69,0.19
10:25:55,instance_n10_c2_k5_i10.dzn,10,5,4,37,OPTIMAL,0.73,0.20
10:25:56,instance_n10_c2_k8_i11.dzn,10,8,6,53,OPTIMAL,1.08,0.23
10:25:57,instance_n10_c3_k11_i17.dzn,10,11,3,25,OPTIMAL,0.50,0.17
10:25:58,instance_n10_c3_k14_i18.dzn,10,14,5,35,OPTIMAL,0.86,0.20
10:25:59,instance_n10_c3_k17_i19.dzn,10,17,3,19,OPTIMAL,0.50,0.17
10:25:59,instance_n10_c3_k5_i15.dzn,10,5,5,49,OPTIMAL,0.90,0.24
10:26:00,instance_n10_c3_k8_i16.dzn,10,8,3,19,OPTIMAL,0.49,0.19
10:26:01,instance_n14_c0_k11_i22.dzn,14,11,5,58,OPTIMAL,0.91,0.21
10:26:02,instance_n14_c0_k14_i23.dzn,14,14,5,38,OPTIMAL,0.91,0.24
10:26:03,instance_n14_c0_k17_i24.dzn,14,17,5,39,OPTIMAL,0.89,0.22
10:26:04,instance_n14_c0_k5_i20.dzn,14,5,5,54,OPTIMAL,0.87,0.20
10:26:06,instance_n14_c0_k8_i21.dzn,14,8,7,55,OPTIMAL,1.38,0.34
10:26:07,instance_n14_c1_k11_i27.dzn,14,11,6,69,OPTIMAL,1.14,0.26
10:26:09,instance_n14_c1_k14_i28.dzn,14,14,8,69,OPTIMAL,1.71,0.87
10:26:11,instance_n14_c1_k17_i29.dzn,14,17,5,51,OPTIMAL,0.96,0.22
10:26:12,instance_n14_c1_k5_i25.dzn,14,5,5,48,OPTIMAL,0.90,0.25
10:26:14,instance_n14_c1_k8_i26.dzn,14,8,4,36,OPTIMAL,0.73,0.24
10:26:15,instance_n14_c2_k11_i32.dzn,14,11,4,43,OPTIMAL,0.74,0.21
10:26:15,instance_n14_c2_k14_i33.dzn,14,14,3,24,OPTIMAL,0.53,0.19
10:26:16,instance_n14_c2_k17_i34.dzn,14,17,6,40,OPTIMAL,1.14,0.27
10:26:18,instance_n14_c2_k5_i30.dzn,14,5,4,45,OPTIMAL,0.74,0.22
10:26:19,instance_n14_c2_k8_i31.dzn,14,8,6,48,OPTIMAL,1.18,0.24
10:26:20,instance_n14_c3_k11_i37.dzn,14,11,5,66,OPTIMAL,0.91,0.24
10:26:21,instance_n14_c3_k14_i38.dzn,14,14,5,43,OPTIMAL,0.95,0.21
10:26:22,instance_n14_c3_k17_i39.dzn,14,17,6,55,OPTIMAL,1.12,0.23
10:26:24,instance_n14_c3_k5_i35.dzn,14,5,5,44,OPTIMAL,0.91,0.22
10:26:25,instance_n14_c3_k8_i36.dzn,14,8,5,34,OPTIMAL,0.90,0.23
10:26:26,instance_n18_c0_k11_i42.dzn,18,11,3,29,OPTIMAL,0.56,0.20
10:26:27,instance_n18_c0_k14_i43.dzn,18,14,6,54,OPTIMAL,1.19,0.40
10:26:28,instance_n18_c0_k17_i44.dzn,18,17,6,55,OPTIMAL,1.12,0.38
10:26:30,instance_n18_c0_k5_i40.dzn,18,5,5,37,OPTIMAL,0.94,0.25
10:26:31,instance_n18_c0_k8_i41.dzn,18,8,4,37,OPTIMAL,0.71,0.20
10:26:32,instance_n18_c1_k11_i47.dzn,18,11,6,45,OPTIMAL,1.15,0.30
10:26:33,instance_n18_c1_k14_i48.dzn,18,14,6,37,OPTIMAL,1.17,0.37
10:26:35,instance_n18_c1_k17_i49.dzn,18,17,6,70,OPTIMAL,1.19,0.40
10:26:36,instance_n18_c1_k5_i45.dzn,18,5,5,43,OPTIMAL,0.92,0.29
10:26:38,instance_n18_c1_k8_i46.dzn,18,8,8,52,OPTIMAL,1.75,1.42
10:26:41,instance_n18_c2_k11_i52.dzn,18,11,7,55,OPTIMAL,1.45,0.48
10:26:43,instance_n18_c2_k14_i53.dzn,18,14,6,36,OPTIMAL,1.20,0.35
10:26:44,instance_n18_c2_k17_i54.dzn,18,17,6,62,OPTIMAL,1.18,0.33
10:26:46,instance_n18_c2_k5_i50.dzn,18,5,4,32,OPTIMAL,0.73,0.21
10:26:47,instance_n18_c2_k8_i51.dzn,18,8,5,55,OPTIMAL,0.91,0.25
10:26:48,instance_n18_c3_k11_i57.dzn,18,11,6,41,OPTIMAL,1.14,0.29
10:26:49,instance_n18_c3_k14_i58.dzn,18,14,5,59,OPTIMAL,0.95,0.25
10:26:51,instance_n18_c3_k17_i59.dzn,18,17,7,56,OPTIMAL,1.59,0.98
10:26:53,instance_n18_c3_k5_i55.dzn,18,5,4,53,OPTIMAL,0.82,0.25
10:26:54,instance_n18_c3_k8_i56.dzn,18,8,5,33,OPTIMAL,1.03,0.26
10:26:55,instance_n22_c0_k11_i62.dzn,22,11,7,49,OPTIMAL,1.64,0.92
10:26:58,instance_n22_c0_k14_i63.dzn,22,14,7,62,OPTIMAL,1.58,1.03
10:27:01,instance_n22_c0_k17_i64.dzn,22,17,8,60,OPTIMAL,2.29,4.01
10:27:07,instance_n22_c0_k5_i60.dzn,22,5,5,56,OPTIMAL,0.96,0.30
10:27:08,instance_n22_c0_k8_i61.dzn,22,8,8,93,OPTIMAL,2.20,2.74
