Timestamp,Instance,Nodes,Max_K,Solved_at_K,Min_Cost,Min_Status,Time_SAT_Sec,Time_MIN_Sec
20:32:23,instance_n10_c0_k11_i2.dzn,10,11,4,29,OPTIMAL,0.76,0.37
20:32:24,instance_n10_c0_k14_i3.dzn,10,14,4,50,OPTIMAL,0.72,0.19
20:32:25,instance_n10_c0_k17_i4.dzn,10,17,4,23,OPTIMAL,0.74,0.19
20:32:26,instance_n10_c0_k5_i0.dzn,10,5,5,46,OPTIMAL,0.98,0.25
20:32:27,instance_n10_c0_k8_i1.dzn,10,8,4,47,OPTIMAL,0.73,0.20
20:32:28,instance_n10_c1_k11_i7.dzn,10,11,4,30,OPTIMAL,0.74,0.20
20:32:29,instance_n10_c1_k14_i8.dzn,10,14,5,41,OPTIMAL,0.96,0.25
20:32:30,instance_n10_c1_k17_i9.dzn,10,17,3,24,OPTIMAL,0.54,0.21
20:32:31,instance_n10_c1_k5_i5.dzn,10,5,4,26,OPTIMAL,0.84,0.21
20:32:32,instance_n10_c1_k8_i6.dzn,10,8,4,35,OPTIMAL,0.77,0.20
20:32:33,instance_n10_c2_k11_i12.dzn,10,11,4,20,OPTIMAL,0.75,0.22
20:32:34,instance_n10_c2_k14_i13.dzn,10,14,4,34,OPTIMAL,0.74,0.20
20:32:35,instance_n10_c2_k17_i14.dzn,10,17,4,27,OPTIMAL,0.72,0.22
20:32:36,instance_n10_c2_k5_i10.dzn,10,5,4,37,OPTIMAL,0.78,0.21
20:32:37,instance_n10_c2_k8_i11.dzn,10,8,6,53,OPTIMAL,1.09,0.41
20:32:38,instance_n10_c3_k11_i17.dzn,10,11,3,25,OPTIMAL,0.55,0.19
20:32:39,instance_n10_c3_k14_i18.dzn,10,14,5,35,OPTIMAL,0.97,0.21
20:32:40,instance_n10_c3_k17_i19.dzn,10,17,3,19,OPTIMAL,0.53,0.19
20:32:41,instance_n10_c3_k5_i15.dzn,10,5,5,49,OPTIMAL,1.03,0.22
20:32:42,instance_n10_c3_k8_i16.dzn,10,8,3,19,OPTIMAL,0.57,0.20
20:32:43,instance_n14_c0_k11_i22.dzn,14,11,5,58,OPTIMAL,1.01,0.25
20:32:44,instance_n14_c0_k14_i23.dzn,14,14,5,38,OPTIMAL,1.01,0.25
20:32:45,instance_n14_c0_k17_i24.dzn,14,17,5,39,OPTIMAL,1.01,0.25
20:32:47,instance_n14_c0_k5_i20.dzn,14,5,5,54,OPTIMAL,0.93,0.23
20:32:48,instance_n14_c0_k8_i21.dzn,14,8,7,55,OPTIMAL,1.49,4.16
20:32:54,instance_n14_c1_k11_i27.dzn,14,11,6,69,OPTIMAL,1.17,0.40
20:32:55,instance_n14_c1_k14_i28.dzn,14,14,8,69,OPTIMAL,1.82,15.72
20:33:13,instance_n14_c1_k17_i29.dzn,14,17,5,51,OPTIMAL,0.95,0.32
20:33:14,instance_n14_c1_k5_i25.dzn,14,5,5,48,OPTIMAL,0.93,0.21
20:33:15,instance_n14_c1_k8_i26.dzn,14,8,4,36,OPTIMAL,0.74,0.22
20:33:16,instance_n14_c2_k11_i32.dzn,14,11,4,43,OPTIMAL,0.79,0.21
20:33:17,instance_n14_c2_k14_i33.dzn,14,14,3,24,OPTIMAL,0.53,0.19
20:33:18,instance_n14_c2_k17_i34.dzn,14,17,6,40,OPTIMAL,1.22,0.36
20:33:19,instance_n14_c2_k5_i30.dzn,14,5,4,45,OPTIMAL,0.78,0.21
20:33:20,instance_n14_c2_k8_i31.dzn,14,8,6,48,OPTIMAL,1.19,0.58
20:33:22,instance_n14_c3_k11_i37.dzn,14,11,5,66,OPTIMAL,0.96,0.26
20:33:23,instance_n14_c3_k14_i38.dzn,14,14,5,43,OPTIMAL,0.88,0.28
20:33:24,instance_n14_c3_k17_i39.dzn,14,17,6,55,OPTIMAL,1.26,0.56
20:33:26,instance_n14_c3_k5_i35.dzn,14,5,5,44,OPTIMAL,0.91,0.29
20:33:27,instance_n14_c3_k8_i36.dzn,14,8,5,34,OPTIMAL,1.01,0.29
20:33:29,instance_n18_c0_k11_i42.dzn,18,11,3,29,OPTIMAL,0.55,0.19
20:33:30,instance_n18_c0_k14_i43.dzn,18,14,6,54,OPTIMAL,1.23,2.75
20:33:34,instance_n18_c0_k17_i44.dzn,18,17,6,55,OPTIMAL,1.20,2.96
20:33:38,instance_n18_c0_k5_i40.dzn,18,5,5,37,OPTIMAL,0.96,0.27
20:33:39,instance_n18_c0_k8_i41.dzn,18,8,4,37,OPTIMAL,0.78,0.21
20:33:40,instance_n18_c1_k11_i47.dzn,18,11,6,45,OPTIMAL,1.19,1.76
20:33:43,instance_n18_c1_k14_i48.dzn,18,14,6,37,OPTIMAL,1.21,2.46
20:33:47,instance_n18_c1_k17_i49.dzn,18,17,6,70,OPTIMAL,1.22,0.92
20:33:49,instance_n18_c1_k5_i45.dzn,18,5,5,43,OPTIMAL,1.00,0.32
20:33:50,instance_n18_c1_k8_i46.dzn,18,8,8,52,SAT_MIN,1.75,300.12
20:38:52,instance_n18_c2_k11_i52.dzn,18,11,7,55,OPTIMAL,1.53,7.16
20:39:01,instance_n18_c2_k14_i53.dzn,18,14,6,36,OPTIMAL,1.17,2.37
20:39:04,instance_n18_c2_k17_i54.dzn,18,17,6,62,OPTIMAL,1.20,1.15
20:39:06,instance_n18_c2_k5_i50.dzn,18,5,4,32,OPTIMAL,0.77,0.24
20:39:07,instance_n18_c2_k8_i51.dzn,18,8,5,55,OPTIMAL,0.99,0.35
20:39:09,instance_n18_c3_k11_i57.dzn,18,11,6,41,OPTIMAL,1.25,3.60
20:39:14,instance_n18_c3_k14_i58.dzn,18,14,5,59,OPTIMAL,0.96,0.51
20:39:15,instance_n18_c3_k17_i59.dzn,18,17,7,56,OPTIMAL,1.49,4.98
20:39:22,instance_n18_c3_k5_i55.dzn,18,5,4,53,OPTIMAL,0.76,0.21
20:39:23,instance_n18_c3_k8_i56.dzn,18,8,5,33,OPTIMAL,0.99,0.44
