Timestamp,Instance,Nodes,Max_K,Solved_at_K,Min_Cost,Min_Status,Time_SAT_Sec,Time_MIN_Sec
14:03:38,instance_n10_c0_k11_i2.dzn,10,11,4,29,OPTIMAL,0.69,0.78
14:03:40,instance_n10_c0_k14_i3.dzn,10,14,4,50,OPTIMAL,0.66,0.25
14:03:40,instance_n10_c0_k17_i4.dzn,10,17,4,23,OPTIMAL,0.66,0.22
14:03:41,instance_n10_c0_k5_i0.dzn,10,5,5,46,OPTIMAL,0.89,0.43
14:03:43,instance_n10_c0_k8_i1.dzn,10,8,4,47,OPTIMAL,0.66,0.27
14:03:44,instance_n10_c1_k11_i7.dzn,10,11,4,30,OPTIMAL,0.69,0.25
14:03:45,instance_n10_c1_k14_i8.dzn,10,14,5,41,OPTIMAL,0.88,0.29
14:03:46,instance_n10_c1_k17_i9.dzn,10,17,3,24,OPTIMAL,0.52,0.20
14:03:46,instance_n10_c1_k5_i5.dzn,10,5,4,26,OPTIMAL,0.68,0.28
14:03:47,instance_n10_c1_k8_i6.dzn,10,8,4,35,OPTIMAL,0.67,0.28
14:03:48,instance_n10_c2_k11_i12.dzn,10,11,4,20,OPTIMAL,0.65,0.25
14:03:49,instance_n10_c2_k14_i13.dzn,10,14,4,34,OPTIMAL,0.68,0.25
14:03:50,instance_n10_c2_k17_i14.dzn,10,17,4,27,OPTIMAL,0.70,0.23
14:03:51,instance_n10_c2_k5_i10.dzn,10,5,4,37,OPTIMAL,0.71,0.28
14:03:52,instance_n10_c2_k8_i11.dzn,10,8,6,53,OPTIMAL,1.03,1.34
14:03:54,instance_n10_c3_k11_i17.dzn,10,11,3,25,OPTIMAL,0.49,0.22
14:03:55,instance_n10_c3_k14_i18.dzn,10,14,5,35,OPTIMAL,0.86,0.37
14:03:56,instance_n10_c3_k17_i19.dzn,10,17,3,19,OPTIMAL,0.51,0.22
14:03:57,instance_n10_c3_k5_i15.dzn,10,5,5,49,OPTIMAL,0.85,0.28
14:03:58,instance_n10_c3_k8_i16.dzn,10,8,3,19,OPTIMAL,0.50,0.20
14:03:59,instance_n14_c0_k11_i22.dzn,14,11,5,58,OPTIMAL,0.90,0.36
14:04:00,instance_n14_c0_k14_i23.dzn,14,14,5,38,OPTIMAL,0.89,0.30
14:04:01,instance_n14_c0_k17_i24.dzn,14,17,5,39,OPTIMAL,0.86,0.40
14:04:03,instance_n14_c0_k5_i20.dzn,14,5,5,54,OPTIMAL,0.91,0.36
14:04:04,instance_n14_c0_k8_i21.dzn,14,8,7,55,OPTIMAL,1.43,1.29
14:04:07,instance_n14_c1_k11_i27.dzn,14,11,6,69,OPTIMAL,1.15,0.42
14:04:08,instance_n14_c1_k14_i28.dzn,14,14,8,69,OPTIMAL,1.72,9.63
14:04:20,instance_n14_c1_k17_i29.dzn,14,17,5,51,OPTIMAL,0.90,0.35
14:04:21,instance_n14_c1_k5_i25.dzn,14,5,5,48,OPTIMAL,0.92,0.35
14:04:22,instance_n14_c1_k8_i26.dzn,14,8,4,36,OPTIMAL,0.72,0.31
14:04:23,instance_n14_c2_k11_i32.dzn,14,11,4,43,OPTIMAL,0.73,0.25
14:04:24,instance_n14_c2_k14_i33.dzn,14,14,3,24,OPTIMAL,0.53,0.24
14:04:25,instance_n14_c2_k17_i34.dzn,14,17,6,40,OPTIMAL,1.07,0.69
14:04:27,instance_n14_c2_k5_i30.dzn,14,5,4,45,OPTIMAL,0.72,0.24
14:04:28,instance_n14_c2_k8_i31.dzn,14,8,6,48,OPTIMAL,1.13,0.49
14:04:29,instance_n14_c3_k11_i37.dzn,14,11,5,66,OPTIMAL,0.89,0.32
14:04:30,instance_n14_c3_k14_i38.dzn,14,14,5,43,OPTIMAL,0.90,0.34
14:04:32,instance_n14_c3_k17_i39.dzn,14,17,6,55,OPTIMAL,1.15,0.47
14:04:33,instance_n14_c3_k5_i35.dzn,14,5,5,44,OPTIMAL,0.92,0.42
14:04:35,instance_n14_c3_k8_i36.dzn,14,8,5,34,OPTIMAL,0.90,0.36
14:04:36,instance_n18_c0_k11_i42.dzn,18,11,3,29,OPTIMAL,0.52,0.24
14:04:37,instance_n18_c0_k14_i43.dzn,18,14,6,54,OPTIMAL,1.17,4.55
14:04:42,instance_n18_c0_k17_i44.dzn,18,17,6,55,OPTIMAL,1.13,3.97
14:04:47,instance_n18_c0_k5_i40.dzn,18,5,5,37,OPTIMAL,0.96,1.23
14:04:50,instance_n18_c0_k8_i41.dzn,18,8,4,37,OPTIMAL,0.69,0.39
14:04:51,instance_n18_c1_k11_i47.dzn,18,11,6,45,OPTIMAL,1.15,1.52
14:04:53,instance_n18_c1_k14_i48.dzn,18,14,6,37,OPTIMAL,1.18,3.08
14:04:58,instance_n18_c1_k17_i49.dzn,18,17,6,70,OPTIMAL,1.14,2.89
14:05:02,instance_n18_c1_k5_i45.dzn,18,5,5,43,OPTIMAL,0.92,0.87
14:05:03,instance_n18_c1_k8_i46.dzn,18,8,8,52,OPTIMAL,1.72,78.14
14:06:23,instance_n18_c2_k11_i52.dzn,18,11,7,55,OPTIMAL,1.48,5.42
14:06:30,instance_n18_c2_k14_i53.dzn,18,14,6,36,OPTIMAL,1.10,2.48
14:06:34,instance_n18_c2_k17_i54.dzn,18,17,6,62,OPTIMAL,1.14,3.25
14:06:38,instance_n18_c2_k5_i50.dzn,18,5,4,32,OPTIMAL,0.71,0.36
14:06:39,instance_n18_c2_k8_i51.dzn,18,8,5,55,OPTIMAL,0.90,0.59
14:06:41,instance_n18_c3_k11_i57.dzn,18,11,6,41,OPTIMAL,1.14,1.18
14:06:43,instance_n18_c3_k14_i58.dzn,18,14,5,59,OPTIMAL,0.93,0.47
14:06:45,instance_n18_c3_k17_i59.dzn,18,17,7,56,OPTIMAL,1.40,8.35
14:06:54,instance_n18_c3_k5_i55.dzn,18,5,4,53,OPTIMAL,0.69,0.31
14:06:55,instance_n18_c3_k8_i56.dzn,18,8,5,33,OPTIMAL,0.94,0.77
14:06:57,instance_n22_c0_k11_i62.dzn,22,11,7,49,OPTIMAL,1.45,16.00
14:07:14,instance_n22_c0_k14_i63.dzn,22,14,7,62,OPTIMAL,1.57,25.17
14:07:41,instance_n22_c0_k17_i64.dzn,22,17,8,60,OPTIMAL,2.16,159.34
14:10:23,instance_n22_c0_k5_i60.dzn,22,5,5,56,OPTIMAL,0.93,1.55
14:10:25,instance_n22_c0_k8_i61.dzn,22,8,8,93,OPTIMAL,2.08,187.77
14:13:35,instance_n22_c1_k11_i67.dzn,22,11,8,58,OPTIMAL,1.95,127.87
14:15:45,instance_n22_c1_k14_i68.dzn,22,14,9,N/A,ERROR_MIN,2.44,300.15
14:20:47,instance_n22_c1_k17_i69.dzn,22,17,6,45,OPTIMAL,1.16,4.91
14:20:53,instance_n22_c1_k5_i65.dzn,22,5,5,42,OPTIMAL,0.90,2.29
14:20:57,instance_n22_c1_k8_i66.dzn,22,8,6,65,OPTIMAL,1.17,5.74
14:21:04,instance_n22_c2_k11_i72.dzn,22,11,8,64,OPTIMAL,1.95,130.32
14:23:16,instance_n22_c2_k14_i73.dzn,22,14,6,46,OPTIMAL,1.18,9.68
14:23:27,instance_n22_c2_k17_i74.dzn,22,17,6,50,OPTIMAL,1.13,1.36
14:23:29,instance_n22_c2_k5_i70.dzn,22,5,4,33,OPTIMAL,0.76,0.38
14:23:30,instance_n22_c2_k8_i71.dzn,22,8,7,57,OPTIMAL,1.48,44.36
14:24:16,instance_n22_c3_k11_i77.dzn,22,11,8,69,OPTIMAL,2.31,140.70
14:26:39,instance_n22_c3_k14_i78.dzn,22,14,7,80,OPTIMAL,1.48,6.87
14:26:48,instance_n22_c3_k17_i79.dzn,22,17,6,38,OPTIMAL,1.13,2.27
14:26:51,instance_n22_c3_k5_i75.dzn,22,5,4,47,OPTIMAL,0.70,0.38
14:26:52,instance_n22_c3_k8_i76.dzn,22,8,4,52,OPTIMAL,0.72,0.39
14:26:53,instance_n26_c0_k11_i82.dzn,26,11,10,N/A,ERROR_MIN,7.50,300.20
14:32:01,instance_n26_c0_k14_i83.dzn,26,14,7,60,OPTIMAL,1.58,36.65
14:32:39,instance_n26_c0_k17_i84.dzn,26,17,8,N/A,ERROR_MIN,1.77,300.20
14:37:41,instance_n26_c0_k5_i80.dzn,26,5,5,49,OPTIMAL,0.96,3.21
14:37:45,instance_n26_c0_k8_i81.dzn,26,8,5,50,OPTIMAL,1.01,2.24
14:37:48,instance_n26_c1_k11_i87.dzn,26,11,6,52,OPTIMAL,1.30,4.91
14:37:55,instance_n26_c1_k14_i88.dzn,26,14,9,N/A,ERROR_MIN,3.28,300.19
14:42:58,instance_n26_c1_k17_i89.dzn,26,17,10,N/A,ERROR_MIN,5.77,300.15
14:48:04,instance_n26_c1_k5_i85.dzn,26,5,4,54,OPTIMAL,0.78,0.61
