Instance,K_Found,Min_Cost,SAT,Time_Seconds
i53,6,36.0,OPTIMAL,0.46
i54,6,62.0,OPTIMAL,0.75
i63,7,62.0,OPTIMAL,2.95
i64,8,60.0,OPTIMAL,17.69
i67,8,58.0,OPTIMAL,11.5
i69,6,45.0,OPTIMAL,1.09
i73,6,46.0,OPTIMAL,1.3
i74,6,50.0,OPTIMAL,0.77
i77,8,69.0,OPTIMAL,13.17
i79,6,38.0,OPTIMAL,0.92
i76,4,52.0,OPTIMAL,0.4
i83,7,60.0,OPTIMAL,2.62
i84,8,81.0,OPTIMAL,61.43
i81,5,50.0,OPTIMAL,0.44
i87,6,52.0,OPTIMAL,0.77
i88,9,91.0,SAT_MIN,300.21
i89,10,95.0,OPTIMAL,288.41
i93,10,,ERROR_MIN,300.21
i94,9,84.0,OPTIMAL,149.58
i99,7,63.0,OPTIMAL,11.27
