Instance,K_Found,Min_Cost,SAT,Time_Seconds,Time_MIN_Sec
i53,6,36,OPTIMAL,2.34,0.6
i54,6,62,OPTIMAL,3.93,2.05
i63,7,62,OPTIMAL,10.73,8.21
i64,8,60,OPTIMAL,62.75,59.72
i67,8,58,OPTIMAL,41.53,38.63
i69,6,45,OPTIMAL,4.07,2.34
i73,6,46,OPTIMAL,5.93,4.1
i74,6,50,OPTIMAL,2.85,1.04
i76,4,52,OPTIMAL,1.42,0.33
i77,8,69,OPTIMAL,28.15,24.85
i79,6,38,OPTIMAL,3.36,1.79
i81,5,50,OPTIMAL,2.21,0.86
i83,7,60,OPTIMAL,11.35,8.88
i84,8,81,OPTIMAL,121.25,118.52
i87,6,52,OPTIMAL,2.49,0.88
i88,9,91,SAT_MIN,304.04,300.2
i89,10,95,SAT_MIN,307.83,300.27
i93,10,103,SAT_MIN,308.82,300.26
i94,9,84,OPTIMAL,300.33,295.9
i99,7,63,OPTIMAL,21.89,19.22
