Instance,K_Found,Min_Cost,SAT,Time_Seconds
i2,4.0,29.0,OPTIMAL,4.82
i3,4.0,50.0,OPTIMAL,1.71
i4,4.0,23.0,OPTIMAL,1.2
i0,5.0,46.0,OPTIMAL,14.44
i1,4.0,47.0,OPTIMAL,1.16
i7,4.0,30.0,OPTIMAL,1.08
i8,5.0,41.0,OPTIMAL,7.97
i9,3.0,24.0,OPTIMAL,0.82
i5,4.0,26.0,OPTIMAL,3.23
i6,4.0,35.0,OPTIMAL,1.63
i12,4.0,20.0,OPTIMAL,2.45
i13,4.0,34.0,OPTIMAL,1.19
i14,4.0,27.0,OPTIMAL,1.13
i10,4.0,37.0,OPTIMAL,5.74
i11,6.0,53.0,OPTIMAL,18.66
i17,3.0,25.0,OPTIMAL,0.87
i18,5.0,35.0,OPTIMAL,7.58
i19,3.0,19.0,OPTIMAL,0.83
i15,5.0,49.0,OPTIMAL,5.86
i16,3.0,19.0,OPTIMAL,0.83
i22,5.0,58.0,OPTIMAL,9.55
i23,5.0,38.0,OPTIMAL,10.26
i24,5.0,39.0,OPTIMAL,15.09
i20,5.0,54.0,OPTIMAL,12.67
i21,7.0,55.0,SAT_MIN,301.52
i27,6.0,69.0,OPTIMAL,15.65
i28,8.0,71.0,SAT_MIN,301.82
i29,5.0,51.0,OPTIMAL,15.67
i25,5.0,48.0,OPTIMAL,11.23
i26,4.0,36.0,OPTIMAL,1.31
i32,4.0,43.0,OPTIMAL,1.31
i33,3.0,24.0,OPTIMAL,0.96
i34,6.0,40.0,OPTIMAL,33.1
i30,4.0,45.0,OPTIMAL,1.32
i31,6.0,48.0,OPTIMAL,81.79
i37,5.0,66.0,OPTIMAL,19.24
i38,5.0,43.0,OPTIMAL,4.67
i39,6.0,55.0,OPTIMAL,36.57
i35,5.0,44.0,OPTIMAL,14.01
i36,5.0,34.0,OPTIMAL,11.07
i42,3.0,29.0,OPTIMAL,1.1
i43,6.0,55.0,SAT_MIN,301.37
i44,6.0,55.0,OPTIMAL,128.21
i40,5.0,37.0,OPTIMAL,31.98
i41,4.0,37.0,OPTIMAL,10.56
i47,6.0,45.0,OPTIMAL,217.65
i48,6.0,37.0,OPTIMAL,228.33
i49,6.0,70.0,OPTIMAL,223.34
i45,5.0,43.0,OPTIMAL,48.75
i46,8.0,76.0,SAT_MIN,301.91
i52,7.0,65.0,SAT_MIN,301.74
i53,6.0,36.0,OPTIMAL,66.25
i54,6.0,62.0,OPTIMAL,131.2
i50,4.0,32.0,OPTIMAL,5.15
i51,5.0,55.0,OPTIMAL,18.87
i57,6.0,41.0,OPTIMAL,53.83
i58,5.0,59.0,OPTIMAL,38.6
i59,7.0,56.0,SAT_MIN,301.68
i55,4.0,53.0,OPTIMAL,5.78
i56,5.0,33.0,OPTIMAL,34.22
i62,7.0,68.0,SAT_MIN,301.82
i63,7.0,85.0,SAT_MIN,301.85
i64,,,TIMEOUT,0.0
i60,5.0,56.0,OPTIMAL,45.85
i61,8.0,113.0,SAT_MIN,302.46
i67,8.0,68.0,SAT_MIN,302.14
i68,,,TIMEOUT,0.0
i69,6.0,45.0,SAT_MIN,301.36
i65,5.0,42.0,OPTIMAL,71.72
i66,6.0,66.0,SAT_MIN,301.35
i72,8.0,94.0,SAT_MIN,302.17
i73,6.0,46.0,SAT_MIN,301.48
i74,6.0,50.0,OPTIMAL,85.6
i70,4.0,33.0,OPTIMAL,11.39
i71,7.0,73.0,SAT_MIN,301.7
i77,8.0,88.0,SAT_MIN,302.52
i78,7.0,81.0,SAT_MIN,301.63
i79,6.0,38.0,OPTIMAL,188.81
i75,4.0,47.0,OPTIMAL,7.95
i76,4.0,52.0,OPTIMAL,13.16
i82,,,TIMEOUT,0.0
i83,7.0,60.0,SAT_MIN,301.77
i84,,,TIMEOUT,0.0
i80,5.0,49.0,OPTIMAL,166.97
i81,5.0,50.0,OPTIMAL,211.58
i87,6.0,52.0,SAT_MIN,301.48
i88,,,TIMEOUT,0.0
i89,,,TIMEOUT,0.0
i85,4.0,54.0,OPTIMAL,14.79
i86,7.0,72.0,SAT_MIN,301.73
i92,,,TIMEOUT,0.0
i93,,,TIMEOUT,0.0
i94,,,TIMEOUT,0.0
i90,5.0,49.0,OPTIMAL,107.82
i91,8.0,106.0,SAT_MIN,302.49
i97,7.0,81.0,SAT_MIN,301.68
i98,7.0,58.0,SAT_MIN,301.82
i99,7.0,81.0,SAT_MIN,301.83
i95,5.0,58.0,OPTIMAL,217.76
i96,6.0,52.0,OPTIMAL,273.38
