Instance,K_Found,Min_Cost,SAT,Time_Seconds
i2,4,29,OPTIMAL,0.18
i3,4,50,OPTIMAL,0.21
i4,4,23,OPTIMAL,0.19
i0,5,46,OPTIMAL,0.2
i1,4,47,OPTIMAL,0.19
i7,4,30,OPTIMAL,0.17
i8,5,41,OPTIMAL,0.2
i9,3,24,OPTIMAL,0.19
i5,4,26,OPTIMAL,0.2
i6,4,35,OPTIMAL,0.24
i12,4,20,OPTIMAL,0.18
i13,4,34,OPTIMAL,0.19
i14,4,27,OPTIMAL,0.19
i10,4,37,OPTIMAL,0.2
i11,6,53,OPTIMAL,0.23
i17,3,25,OPTIMAL,0.17
i18,5,35,OPTIMAL,0.2
i19,3,19,OPTIMAL,0.17
i15,5,49,OPTIMAL,0.24
i16,3,19,OPTIMAL,0.19
i22,5,58,OPTIMAL,0.21
i23,5,38,OPTIMAL,0.24
i24,5,39,OPTIMAL,0.22
i20,5,54,OPTIMAL,0.2
i21,7,55,OPTIMAL,0.34
i27,6,69,OPTIMAL,0.26
i28,8,69,OPTIMAL,0.87
i29,5,51,OPTIMAL,0.22
i25,5,48,OPTIMAL,0.25
i26,4,36,OPTIMAL,0.24
i32,4,43,OPTIMAL,0.21
i33,3,24,OPTIMAL,0.19
i34,6,40,OPTIMAL,0.27
i30,4,45,OPTIMAL,0.22
i31,6,48,OPTIMAL,0.24
i37,5,66,OPTIMAL,0.24
i38,5,43,OPTIMAL,0.21
i39,6,55,OPTIMAL,0.23
i35,5,44,OPTIMAL,0.22
i36,5,34,OPTIMAL,0.23
i42,3,29,OPTIMAL,0.2
i43,6,54,OPTIMAL,0.4
i44,6,55,OPTIMAL,0.38
i40,5,37,OPTIMAL,0.25
i41,4,37,OPTIMAL,0.2
i47,6,45,OPTIMAL,0.3
i48,6,37,OPTIMAL,0.37
i49,6,70,OPTIMAL,0.4
i45,5,43,OPTIMAL,0.29
i46,8,52,OPTIMAL,1.42
i52,7,55,OPTIMAL,0.48
i53,6,36,OPTIMAL,0.35
i54,6,62,OPTIMAL,0.33
i50,4,32,OPTIMAL,0.21
i51,5,55,OPTIMAL,0.25
i57,6,41,OPTIMAL,0.29
i58,5,59,OPTIMAL,0.25
i59,7,56,OPTIMAL,0.98
i55,4,53,OPTIMAL,0.25
i56,5,33,OPTIMAL,0.26
i62,7,49,OPTIMAL,0.92
i63,7,62,OPTIMAL,1.03
i64,8,60,OPTIMAL,4.01
i60,5,56,OPTIMAL,0.3
i61,8,93,OPTIMAL,2.74
i67,8,58,OPTIMAL,3.01
i68,9,60,OPTIMAL,3.26
i69,6,45,OPTIMAL,0.42
i65,5,42,OPTIMAL,0.29
i66,6,65,OPTIMAL,0.39
i72,8,64,OPTIMAL,2.67
i73,6,46,OPTIMAL,0.5
i74,6,50,OPTIMAL,0.28
i70,4,33,OPTIMAL,0.2
i71,7,57,OPTIMAL,1.15
i77,8,69,OPTIMAL,3.57
i78,7,80,OPTIMAL,0.49
i79,6,38,OPTIMAL,0.33
i75,4,47,OPTIMAL,0.21
i76,4,52,OPTIMAL,0.2
i82,10,81,OPTIMAL,83.44
i83,7,60,OPTIMAL,1.26
i84,8,81,OPTIMAL,3.05
i80,5,49,OPTIMAL,0.29
i81,5,50,OPTIMAL,0.28
i87,6,52,OPTIMAL,0.44
i88,9,91,OPTIMAL,22.19
i89,10,95,OPTIMAL,27.06
i85,4,54,OPTIMAL,0.21
i86,7,64,OPTIMAL,1.49
i92,8,57,OPTIMAL,2.63
i93,10,96,OPTIMAL,49.06
i94,9,84,OPTIMAL,5.9
i90,5,49,OPTIMAL,0.3
i91,8,90,OPTIMAL,7.17
i97,7,71,OPTIMAL,1.29
i98,7,53,OPTIMAL,0.61
i99,7,63,OPTIMAL,1.29
i95,5,58,OPTIMAL,0.31
i96,6,52,OPTIMAL,0.46
