Instance,K_Found,Min_Cost,SAT,Time_Seconds
i2,4,29.0,OPTIMAL,0.37
i3,4,50.0,OPTIMAL,0.19
i4,4,23.0,OPTIMAL,0.19
i0,5,46.0,OPTIMAL,0.25
i1,4,47.0,OPTIMAL,0.2
i7,4,30.0,OPTIMAL,0.2
i8,5,41.0,OPTIMAL,0.25
i9,3,24.0,OPTIMAL,0.21
i5,4,26.0,OPTIMAL,0.21
i6,4,35.0,OPTIMAL,0.2
i12,4,20.0,OPTIMAL,0.22
i13,4,34.0,OPTIMAL,0.2
i14,4,27.0,OPTIMAL,0.22
i10,4,37.0,OPTIMAL,0.21
i11,6,53.0,OPTIMAL,0.41
i17,3,25.0,OPTIMAL,0.19
i18,5,35.0,OPTIMAL,0.21
i19,3,19.0,OPTIMAL,0.19
i15,5,49.0,OPTIMAL,0.22
i16,3,19.0,OPTIMAL,0.2
i22,5,58.0,OPTIMAL,0.25
i23,5,38.0,OPTIMAL,0.25
i24,5,39.0,OPTIMAL,0.25
i20,5,54.0,OPTIMAL,0.23
i21,7,55.0,OPTIMAL,4.16
i27,6,69.0,OPTIMAL,0.4
i28,8,69.0,OPTIMAL,15.72
i29,5,51.0,OPTIMAL,0.32
i25,5,48.0,OPTIMAL,0.21
i26,4,36.0,OPTIMAL,0.22
i32,4,43.0,OPTIMAL,0.21
i33,3,24.0,OPTIMAL,0.19
i34,6,40.0,OPTIMAL,0.36
i30,4,45.0,OPTIMAL,0.21
i31,6,48.0,OPTIMAL,0.58
i37,5,66.0,OPTIMAL,0.26
i38,5,43.0,OPTIMAL,0.28
i39,6,55.0,OPTIMAL,0.56
i35,5,44.0,OPTIMAL,0.29
i36,5,34.0,OPTIMAL,0.29
i42,3,29.0,OPTIMAL,0.19
i43,6,54.0,OPTIMAL,2.75
i44,6,55.0,OPTIMAL,2.96
i40,5,37.0,OPTIMAL,0.27
i41,4,37.0,OPTIMAL,0.21
i47,6,45.0,OPTIMAL,1.76
i48,6,37.0,OPTIMAL,2.46
i49,6,70.0,OPTIMAL,0.92
i45,5,43.0,OPTIMAL,0.32
i46,8,52.0,SAT_MIN,300.12
i52,7,55.0,OPTIMAL,7.16
i53,6,36.0,OPTIMAL,2.37
i54,6,62.0,OPTIMAL,1.15
i50,4,32.0,OPTIMAL,0.24
i51,5,55.0,OPTIMAL,0.35
i57,6,41.0,OPTIMAL,3.6
i58,5,59.0,OPTIMAL,0.51
i59,7,56.0,OPTIMAL,4.98
i55,4,53.0,OPTIMAL,0.21
i56,5,33.0,OPTIMAL,0.44
i62,7,49.0,OPTIMAL,34.54
i63,7,62.0,OPTIMAL,148.7
i64,8,60.0,SAT_MIN,300.12
i60,5,56.0,OPTIMAL,0.51
i61,8,93.0,SAT_MIN,300.13
i67,8,58.0,SAT_MIN,300.12
i68,9,,ERROR_MIN,300.13
i69,6,45.0,OPTIMAL,29.51
i65,5,42.0,OPTIMAL,0.57
i66,6,65.0,OPTIMAL,8.13
i72,8,79.0,SAT_MIN,300.12
i73,6,46.0,OPTIMAL,51.71
i74,6,50.0,OPTIMAL,2.41
i70,4,33.0,OPTIMAL,0.25
i71,7,57.0,OPTIMAL,213.1
i77,8,69.0,SAT_MIN,300.13
i78,7,80.0,OPTIMAL,32.73
i79,6,38.0,OPTIMAL,12.69
i75,4,47.0,OPTIMAL,0.26
i76,4,52.0,OPTIMAL,0.31
i82,10,,ERROR_MIN,300.13
i83,7,60.0,OPTIMAL,53.73
i84,8,,ERROR_MIN,300.13
i80,5,49.0,OPTIMAL,2.0
i81,5,50.0,OPTIMAL,2.81
i87,6,52.0,OPTIMAL,28.23
i88,9,,ERROR_MIN,300.13
i89,10,,ERROR_MIN,300.13
i85,4,54.0,OPTIMAL,0.24
i86,7,66.0,SAT_MIN,300.11
i92,8,80.0,SAT_MIN,300.16
i93,10,,ERROR_MIN,300.12
i94,9,,ERROR_MIN,300.13
i90,5,49.0,OPTIMAL,0.81
i91,8,,ERROR_MIN,300.11
i97,7,71.0,SAT_MIN,300.11
i98,7,53.0,OPTIMAL,33.72
i99,7,63.0,SAT_MIN,300.13
i95,5,58.0,OPTIMAL,6.47
i96,6,52.0,OPTIMAL,25.76
