Instance,K_Found,Min_Cost,SAT,Time_Seconds,Time_MIN_Sec
i0,5,46,OPTIMAL,1.32,0.43
i1,4,47,OPTIMAL,0.93,0.27
i2,4,29,OPTIMAL,1.47,0.78
i3,4,50,OPTIMAL,0.91,0.25
i4,4,23,OPTIMAL,0.88,0.22
i5,4,26,OPTIMAL,0.96,0.28
i6,4,35,OPTIMAL,0.95,0.28
i7,4,30,OPTIMAL,0.94,0.25
i8,5,41,OPTIMAL,1.17,0.29
i9,3,24,OPTIMAL,0.72,0.2
i10,4,37,OPTIMAL,0.99,0.28
i11,6,53,OPTIMAL,2.37,1.34
i12,4,20,OPTIMAL,0.9,0.25
i13,4,34,OPTIMAL,0.93,0.25
i14,4,27,OPTIMAL,0.93,0.23
i15,5,49,OPTIMAL,1.13,0.28
i16,3,19,OPTIMAL,0.7,0.2
i17,3,25,OPTIMAL,0.71,0.22
i18,5,35,OPTIMAL,1.23,0.37
i19,3,19,OPTIMAL,0.73,0.22
i20,5,54,OPTIMAL,1.27,0.36
i21,7,55,OPTIMAL,2.72,1.29
i22,5,58,OPTIMAL,1.26,0.36
i23,5,38,OPTIMAL,1.19,0.3
i24,5,39,OPTIMAL,1.26,0.4
i25,5,48,OPTIMAL,1.27,0.35
i26,4,36,OPTIMAL,1.03,0.31
i27,6,69,OPTIMAL,1.57,0.42
i28,8,69,OPTIMAL,11.35,9.63
i29,5,51,OPTIMAL,1.25,0.35
i30,4,45,OPTIMAL,0.96,0.24
i31,6,48,OPTIMAL,1.62,0.49
i32,4,43,OPTIMAL,0.98,0.25
i33,3,24,OPTIMAL,0.77,0.24
i34,6,40,OPTIMAL,1.76,0.69
i35,5,44,OPTIMAL,1.34,0.42
i36,5,34,OPTIMAL,1.26,0.36
i37,5,66,OPTIMAL,1.21,0.32
i38,5,43,OPTIMAL,1.24,0.34
i39,6,55,OPTIMAL,1.62,0.47
i40,5,37,OPTIMAL,2.19,1.23
i41,4,37,OPTIMAL,1.08,0.39
i42,3,29,OPTIMAL,0.76,0.24
i43,6,54,OPTIMAL,5.72,4.55
i44,6,55,OPTIMAL,5.1,3.97
i45,5,43,OPTIMAL,1.79,0.87
i46,8,52,OPTIMAL,79.86,78.14
i47,6,45,OPTIMAL,2.67,1.52
i48,6,37,OPTIMAL,4.26,3.08
i49,6,70,OPTIMAL,4.03,2.89
i50,4,32,OPTIMAL,1.07,0.36
i51,5,55,OPTIMAL,1.49,0.59
i52,7,55,OPTIMAL,6.9,5.42
i53,6,36,OPTIMAL,3.58,2.48
i54,6,62,OPTIMAL,4.39,3.25
i55,4,53,OPTIMAL,1.0,0.31
i56,5,33,OPTIMAL,1.71,0.77
i57,6,41,OPTIMAL,2.32,1.18
i58,5,59,OPTIMAL,1.4,0.47
i59,7,56,OPTIMAL,9.75,8.35
i60,5,56,OPTIMAL,2.48,1.55
i61,8,93,OPTIMAL,189.85,187.77
i62,7,49,OPTIMAL,17.45,16.0
i63,7,62,OPTIMAL,26.74,25.17
i64,8,60,OPTIMAL,161.5,159.34
i65,5,42,OPTIMAL,3.19,2.29
i66,6,65,OPTIMAL,6.91,5.74
i67,8,58,OPTIMAL,129.82,127.87
i68,9,,ERROR_MIN,302.59,300.15
i69,6,45,OPTIMAL,6.07,4.91
i70,4,33,OPTIMAL,1.14,0.38
i71,7,57,OPTIMAL,45.84,44.36
i72,8,64,OPTIMAL,132.27,130.32
i73,6,46,OPTIMAL,10.86,9.68
i74,6,50,OPTIMAL,2.49,1.36
i75,4,47,OPTIMAL,1.08,0.38
i76,4,52,OPTIMAL,1.11,0.39
i77,8,69,OPTIMAL,143.01,140.7
i78,7,80,OPTIMAL,8.35,6.87
i79,6,38,OPTIMAL,3.4,2.27
i80,5,49,OPTIMAL,4.17,3.21
i81,5,50,OPTIMAL,3.25,2.24
i82,10,,ERROR_MIN,307.7,300.2
i83,7,60,OPTIMAL,38.23,36.65
i84,8,,ERROR_MIN,301.97,300.2
i85,4,54,OPTIMAL,1.39,0.61
i86,7,64,OPTIMAL,75.33,73.82
i87,6,52,OPTIMAL,6.21,4.91
i88,9,,ERROR_MIN,303.47,300.19
i89,10,,ERROR_MIN,305.92,300.15
i90,5,49,OPTIMAL,3.95,3.06
i91,8,,ERROR_MIN,302.38,300.17
i92,8,57,OPTIMAL,142.26,140.29
i93,10,,ERROR_MIN,306.81,300.2
i94,9,,ERROR_MIN,303.2,300.14
i95,5,58,OPTIMAL,4.51,3.56
i96,6,52,OPTIMAL,3.43,2.22
i97,7,71,OPTIMAL,73.75,72.23
i98,7,53,OPTIMAL,25.07,23.53
i99,7,63,OPTIMAL,54.52,53.04
