Instance;chuffed_K_Found;chuffed_Min_Cost;chuffed_SAT;chuffed_Time_Seconds;chuffed_Time_MIN_Sec;gecode_K_Found;gecode_Min_Cost;gecode_SAT;gecode_Time_Seconds;gecode_Time_MIN_Sec;HiGHs_K_Found;HiGHs_Min_Cost;HiGHs_SAT;HiGHs_Time_Seconds;HiGHs_Time_MIN_Sec;ortools_K_Found;ortools_Min_Cost;ortools_SAT;ortools_Time_Seconds;ortools_Time_MIN_Sec
i0;5;46;OPTIMAL;1,04;0,2;5;46;OPTIMAL;1,23;0,25;5;46;OPTIMAL;14,44;13,58;5;46;OPTIMAL;1,32;0,43
i1;4;47;OPTIMAL;0,88;0,19;4;47;OPTIMAL;0,93;0,2;4;47;OPTIMAL;1,16;0,45;4;47;OPTIMAL;0,93;0,27
i2;4;29;OPTIMAL;1,28;0,18;4;29;OPTIMAL;1,13;0,37;4;29;OPTIMAL;4,82;4,07;4;29;OPTIMAL;1,47;0,78
i3;4;50;OPTIMAL;0,87;0,21;4;50;OPTIMAL;0,91;0,19;4;50;OPTIMAL;1,71;1,02;4;50;OPTIMAL;0,91;0,25
i4;4;23;OPTIMAL;0,91;0,19;4;23;OPTIMAL;0,93;0,19;4;23;OPTIMAL;1,2;0,53;4;23;OPTIMAL;0,88;0,22
i5;4;26;OPTIMAL;0,93;0,2;4;26;OPTIMAL;1,05;0,21;4;26;OPTIMAL;3,23;2,55;4;26;OPTIMAL;0,96;0,28
i6;4;35;OPTIMAL;0,94;0,24;4;35;OPTIMAL;0,97;0,2;4;35;OPTIMAL;1,63;0,94;4;35;OPTIMAL;0,95;0,28
i7;4;30;OPTIMAL;0,84;0,17;4;30;OPTIMAL;0,94;0,2;4;30;OPTIMAL;1,08;0,39;4;30;OPTIMAL;0,94;0,25
i8;5;41;OPTIMAL;1,09;0,2;5;41;OPTIMAL;1,21;0,25;5;41;OPTIMAL;7,97;7,11;5;41;OPTIMAL;1,17;0,29
i9;3;24;OPTIMAL;0,72;0,19;3;24;OPTIMAL;0,75;0,21;3;24;OPTIMAL;0,82;0,31;3;24;OPTIMAL;0,72;0,2
i10;4;37;OPTIMAL;0,93;0,2;4;37;OPTIMAL;0,99;0,21;4;37;OPTIMAL;5,74;5,04;4;37;OPTIMAL;0,99;0,28
i11;6;53;OPTIMAL;1,31;0,23;6;53;OPTIMAL;1,5;0,41;6;53;OPTIMAL;18,66;17,61;6;53;OPTIMAL;2,37;1,34
i12;4;20;OPTIMAL;0,87;0,18;4;20;OPTIMAL;0,97;0,22;4;20;OPTIMAL;2,45;1,77;4;20;OPTIMAL;0,9;0,25
i13;4;34;OPTIMAL;0,87;0,19;4;34;OPTIMAL;0,94;0,2;4;34;OPTIMAL;1,19;0,5;4;34;OPTIMAL;0,93;0,25
i14;4;27;OPTIMAL;0,88;0,19;4;27;OPTIMAL;0,94;0,22;4;27;OPTIMAL;1,13;0,47;4;27;OPTIMAL;0,93;0,23
i15;5;49;OPTIMAL;1,14;0,24;5;49;OPTIMAL;1,25;0,22;5;49;OPTIMAL;5,86;5,02;5;49;OPTIMAL;1,13;0,28
i16;3;19;OPTIMAL;0,68;0,19;3;19;OPTIMAL;0,77;0,2;3;19;OPTIMAL;0,83;0,32;3;19;OPTIMAL;0,7;0,2
i17;3;25;OPTIMAL;0,67;0,17;3;25;OPTIMAL;0,74;0,19;3;25;OPTIMAL;0,87;0,31;3;25;OPTIMAL;0,71;0,22
i18;5;35;OPTIMAL;1,06;0,2;5;35;OPTIMAL;1,18;0,21;5;35;OPTIMAL;7,58;6,74;5;35;OPTIMAL;1,23;0,37
i19;3;19;OPTIMAL;0,67;0,17;3;19;OPTIMAL;0,72;0,19;3;19;OPTIMAL;0,83;0,32;3;19;OPTIMAL;0,73;0,22
i20;5;54;OPTIMAL;1,07;0,2;5;54;OPTIMAL;1,16;0,23;5;54;OPTIMAL;12,67;11,77;5;54;OPTIMAL;1,27;0,36
i21;7;55;OPTIMAL;1,72;0,34;7;55;OPTIMAL;5,65;4,16;7;55;SAT_MIN;301,52;300,17;7;55;OPTIMAL;2,72;1,29
